id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
STAT5B,4,1,1,0.999996,1351,0,2.8575,1.07E-12,3.66E-06,3.54E-04,1,4,2.8575,4,1,1,0.999996,1350,0,2.1514,6.76E-11,3.66E-06,4.50E-04,3,4,2.1514,4,1,1,0.999996,1347,0,1.6277,2.57E-09,3.66E-06,2.48E-04,6,4,1.6277
IL2RA,4,1,1,0.999996,1350,0,3.1775,6.11E-12,3.66E-06,3.54E-04,2,4,3.1775,4,1,1,0.999996,1351,0,3.4168,1.07E-12,3.66E-06,4.50E-04,2,4,3.4168,4,1,1,0.999996,1350,0,2.8099,6.75E-11,3.66E-06,2.48E-04,3,4,2.8099
PTEN,4,1,1,0.999996,1349,0,1.423,6.76E-11,3.66E-06,3.54E-04,3,4,1.423,4,1,1,0.999996,1343,0,0.77117,6.17E-07,3.66E-06,4.50E-04,11,4,0.77117,4,1,1,0.999996,1351,0,2.348,2.09E-12,3.66E-06,2.48E-04,2,4,2.348
STAT5A,4,1,1,0.999996,1348,0,1.7202,2.07E-10,3.66E-06,3.54E-04,4,4,1.7202,4,1,1,0.999996,1344,0,0.96477,4.83E-07,3.66E-06,4.50E-04,10,4,0.96477,4,1,1,0.999996,1346,0,1.3463,7.02E-09,3.66E-06,2.48E-04,7,4,1.3463
FOXP1,4,1,1,0.999996,1347,0,1.1629,5.77E-10,3.66E-06,3.54E-04,5,4,1.1629,4,1,1,0.999996,1346,0,0.81889,7.51E-08,3.66E-06,4.50E-04,7,4,0.81889,4,1,1,0.999996,1348,0,1.3331,2.31E-09,3.66E-06,2.48E-04,5,4,1.3331
ETS1,4,1,1,0.999996,1346,0,1.2843,2.85E-09,3.66E-06,3.54E-04,6,4,1.2843,4,1,1,0.999996,1341,0,0.75183,2.82E-06,1.10E-05,0.001142,13,4,0.75183,4,1,1,0.999996,1342,0,0.87391,4.67E-08,3.66E-06,2.48E-04,11,4,0.87391
JAK3,4,1,1,0.999996,1345,0,2.2364,7.61E-09,3.66E-06,3.54E-04,7,4,2.2364,4,0.99824,0.99832,0.999996,1320,0,1.6145,5.56E-06,2.57E-05,0.002166,16,4,1.6145,4,0.98268,0.9825,0.999996,1261,0,0.68039,1.10E-04,4.87E-04,0.015312,43,4,0.68039
GATA3,4,1,1,0.999996,1344,0,0.95076,1.11E-08,3.66E-06,3.54E-04,8,4,0.95076,4,1,1,0.999996,1349,0,2.4693,4.95E-10,3.66E-06,4.50E-04,4,4,2.4693,4,0.99985,0.99984,0.999996,1317,0,0.48623,5.91E-05,2.46E-04,0.008964,37,4,0.48623
KMT2A,4,1,1,0.999996,1343,0,0.65164,2.39E-07,3.66E-06,3.54E-04,9,4,0.65164,4,0.75804,0.7588,0.999996,979,0,-0.077429,0.60324,0.62488,0.999996,792,1,-0.077429,4,1,1,0.999996,1340,0,0.6981,2.31E-07,3.66E-06,2.48E-04,13,4,0.6981
RELA,4,1,1,0.999996,1342,0,0.598,3.29E-07,3.66E-06,3.54E-04,10,4,0.598,4,0.84326,0.84512,0.999996,1095,0,0.34255,0.021528,0.056551,0.943222,81,3,0.34255,4,0.99986,0.99984,0.999996,1318,0,0.65521,2.11E-05,8.43E-05,0.003558,30,4,0.65521
