targetId,drugId,diseaseId,gene_symbol,in_measured,in_rankable,already_curated
ENSG00000186716,CHEMBL1642,MONDO_0015691,BCR,True,True,False
ENSG00000186716,CHEMBL941,MONDO_0015691,BCR,True,True,False
ENSG00000116824,CHEMBL1201571,MONDO_0005046,CD2,True,True,False
ENSG00000198851,CHEMBL1201608,MONDO_0013730,CD3E,True,True,True
ENSG00000160654,CHEMBL1201608,MONDO_0013730,CD3G,True,True,True
ENSG00000169442,CHEMBL1201587,MONDO_0005301,CD52,True,True,True
ENSG00000121594,CHEMBL1201823,MONDO_0011849,CD80,True,True,False
ENSG00000121594,CHEMBL1201823,MONDO_0008383,CD80,True,True,False
ENSG00000121594,CHEMBL1201823,MONDO_0005046,CD80,True,True,False
ENSG00000121594,CHEMBL1742990,MONDO_0005046,CD80,True,True,False
ENSG00000121966,CHEMBL518924,MONDO_0003778,CXCR4,True,True,False
ENSG00000173198,CHEMBL1200681,MONDO_0004979,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL603,MONDO_0004979,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL1200681,MONDO_0011786,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL1200681,MONDO_0005324,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL1200681,MONDO_0024332,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL787,MONDO_0004979,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL787,MONDO_0005324,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL787,MONDO_0011786,CYSLTR1,True,True,False
ENSG00000173198,CHEMBL21333,MONDO_0004979,CYSLTR1,True,True,False
ENSG00000104870,CHEMBL4297551,MONDO_0009688,FCGRT,True,True,False
ENSG00000104870,CHEMBL4297820,MONDO_0009688,FCGRT,True,True,False
ENSG00000104870,CHEMBL4594310,MONDO_0009688,FCGRT,True,True,False
ENSG00000104870,CHEMBL4297551,MONDO_0005046,FCGRT,True,True,False
ENSG00000102755,CHEMBL3039504,MONDO_0005100,FLT1,True,True,False
ENSG00000102755,CHEMBL502835,MONDO_0005100,FLT1,True,True,False
ENSG00000113749,CHEMBL902,MONDO_0008383,HRH2,True,True,False
ENSG00000142166,CHEMBL2364653,MONDO_0007915,IFNAR1,True,True,False
ENSG00000140443,CHEMBL1743079,EFO_1001466,IGF1R,True,True,False
ENSG00000140443,CHEMBL1743079,MONDO_0005364,IGF1R,True,True,False
ENSG00000169194,CHEMBL1743081,MONDO_0004980,IL13,True,True,True
ENSG00000169194,CHEMBL1743035,MONDO_0004980,IL13,True,True,True
ENSG00000177663,CHEMBL1742996,EFO_1001494,IL17RA,True,True,False
ENSG00000177663,CHEMBL1742996,MONDO_0022205,IL17RA,True,True,False
ENSG00000177663,CHEMBL1742996,MONDO_0005083,IL17RA,True,True,False
ENSG00000177663,CHEMBL1742996,MONDO_0011849,IL17RA,True,True,False
ENSG00000177663,CHEMBL1742996,MONDO_0005046,IL17RA,True,True,False
ENSG00000196083,CHEMBL4297911,MONDO_0022205,IL1RAP,True,True,False
ENSG00000196083,CHEMBL4297911,EFO_1001494,IL1RAP,True,True,False
ENSG00000196083,CHEMBL4297911,MONDO_0005083,IL1RAP,True,True,False
ENSG00000196083,CHEMBL4297911,MONDO_0005046,IL1RAP,True,True,False
ENSG00000110944,CHEMBL3990014,MONDO_0005011,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,EFO_1001494,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0011849,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0005011,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0005083,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,EFO_1001494,IL23A,True,True,True
ENSG00000110944,CHEMBL2108681,EFO_1001494,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,MONDO_0011849,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0022205,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0011849,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0005083,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0005101,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0005101,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0022205,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,MONDO_0005011,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,MONDO_0005083,IL23A,True,True,True
ENSG00000110944,CHEMBL3990014,MONDO_0005101,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,EFO_1001494,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,MONDO_0005101,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0005011,IL23A,True,True,True
ENSG00000110944,CHEMBL2108681,MONDO_0005083,IL23A,True,True,True
ENSG00000110944,CHEMBL1201835,MONDO_0005046,IL23A,True,True,True
ENSG00000110944,CHEMBL1742995,MONDO_0005046,IL23A,True,True,True
ENSG00000110944,CHEMBL2364648,MONDO_0005046,IL23A,True,True,True
ENSG00000110944,CHEMBL2108681,MONDO_0005046,IL23A,True,True,True
ENSG00000110944,CHEMBL3990029,MONDO_0005046,IL23A,True,True,True
ENSG00000110944,CHEMBL3990014,MONDO_0005046,IL23A,True,True,True
ENSG00000134460,CHEMBL1201605,MONDO_0005301,IL2RA,True,True,True
ENSG00000134460,CHEMBL1201605,MONDO_0005046,IL2RA,True,True,True
ENSG00000134460,CHEMBL1201439,MONDO_0005046,IL2RA,True,True,True
ENSG00000134460,CHEMBL1201605,MONDO_0005314,IL2RA,True,True,True
ENSG00000100385,CHEMBL1201605,MONDO_0005301,IL2RB,True,True,False
ENSG00000100385,CHEMBL1201605,MONDO_0005046,IL2RB,True,True,False
ENSG00000100385,CHEMBL1201439,MONDO_0005046,IL2RB,True,True,False
ENSG00000100385,CHEMBL1201605,MONDO_0005314,IL2RB,True,True,False
ENSG00000077238,CHEMBL2108675,MONDO_0004980,IL4R,True,True,True
ENSG00000077238,CHEMBL2108675,MONDO_0004979,IL4R,True,True,True
ENSG00000077238,CHEMBL2108675,MONDO_0019082,IL4R,True,True,True
ENSG00000134352,CHEMBL3833307,MONDO_0005046,IL6ST,True,True,False
ENSG00000178035,CHEMBL866,MONDO_0005011,IMPDH2,True,True,True
ENSG00000178035,CHEMBL866,MONDO_0005046,IMPDH2,True,True,True
ENSG00000178035,CHEMBL2106643,MONDO_0005301,IMPDH2,True,True,True
ENSG00000115232,CHEMBL1743087,MONDO_0005101,ITGA4,True,True,True
ENSG00000115232,CHEMBL1743087,MONDO_0005011,ITGA4,True,True,True
ENSG00000115232,CHEMBL1201607,MONDO_0005301,ITGA4,True,True,True
ENSG00000115232,CHEMBL1201607,MONDO_0005011,ITGA4,True,True,True
ENSG00000115232,CHEMBL1201607,MONDO_0005314,ITGA4,True,True,True
ENSG00000005844,CHEMBL1201575,EFO_1001494,ITGAL,True,True,True
