target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,stim_downstream,n_cells_target,rest_de_genes,rest_downstream,is_core_essential,is_iei,z_l2,rank
STAT5B,3.0585895897955693,1.6157074605881292,1060,1059,107.0,1135.0,1134.0,False,True,159.80553774899693,1
VAV1,2.5339242254095384,2.399886269763792,3575,3574,321.0,70.0,69.0,False,False,258.2241593323298,2
RBCK1,2.499592867833912,0.8140389728025087,692,691,164.0,4.0,3.0,False,True,145.67875235976135,3
IL2RB,2.455272000544853,2.522370724417121,1070,1069,80.0,,,False,True,166.16376129172278,4
CFAP20,2.430327649566531,1.4188453867022206,1293,1292,177.0,455.0,454.0,False,False,166.7864118314204,5
NSD1,2.364266365802937,2.098088021889593,2175,2174,683.0,1767.0,1766.0,False,False,197.08436830958948,6
CXXC1,2.224851411522088,1.567874009376733,853,852,80.0,536.0,535.0,False,False,151.2213756699049,7
UBR4,2.0643535911871167,1.098539327107757,510,509,178.0,1209.0,1208.0,False,False,139.0245096445782,8
TADA2B,1.9397002012794269,2.569772161179807,5260,5259,1178.0,4681.0,4680.0,False,False,352.72224418944154,9
WDR82,1.8913008628754648,1.1021817035577464,1563,1562,313.0,1253.0,1252.0,False,False,188.7436352198392,10
INO80,1.888626657954184,1.2082706235758376,245,244,125.0,341.0,340.0,False,True,128.4596225979931,11
BATF,1.8344516392559067,-1.17730029559104,587,586,129.0,377.0,376.0,False,False,144.8021013580291,12
GATA3,1.79431501462292,3.1669649688804205,1253,1252,784.0,888.0,887.0,False,False,172.38106418418838,13
CD3G,1.7828024295326828,2.268228998091474,1374,1373,126.0,5.0,4.0,False,True,183.8950060995726,14
CD247,1.77257769245243,2.291318279012549,828,827,266.0,5.0,4.0,False,True,153.0120319985587,15
DHX36,1.762948494072232,1.991607766872712,2299,2298,142.0,2327.0,2326.0,False,False,224.44424882591505,16
USP22,1.7583659091326669,1.2054404580422595,1849,1848,1260.0,1783.0,1782.0,False,False,184.80907504078704,17
BRD1,1.7356446373375425,1.1130094414696872,136,135,245.0,65.0,64.0,False,False,126.12789712534534,18
MED13,1.7219213277321244,1.1391675330522797,629,628,1501.0,43.0,42.0,False,False,146.2802638717284,19
BHLHE40,1.7102517116492766,0.7579982200523717,1687,1686,864.0,465.0,464.0,False,False,183.69953105403,20
SUPT20H,1.7097750781348673,2.274217095392214,3312,3311,731.0,3072.0,3071.0,False,False,245.0490940813639,21
CD2,1.6908950547060226,0.537310302247474,989,988,478.0,4.0,3.0,False,False,153.65226517709743,22
N6AMT1,1.6723604422726828,1.7518422730175809,511,510,201.0,350.0,350.0,False,False,139.29029208455583,23
LCK,1.6589082752594686,1.0746371312145055,916,915,107.0,309.0,308.0,False,True,154.4576858614882,24
HECTD1,1.6363680171392736,0.8878686999117102,34,33,264.0,16.0,15.0,False,False,111.13063918521132,25
