gene_name,safe,efficacy,window_rank,ot_genetic_supported,ot_genetic_max,ot_genetic_n_diseases,tractable,is_iei,freimer_hit,freimer_min_fdr,freimer_dir,freimer_marker,arce_hit,arce_min_fdr,arce_dir,any_hit
STAT3,True,1.5980760477027087,1,True,0.7757925671777649,8.0,True,True,True,0.002038,pos_regulator,CTLA4,True,0.00045,loss_raises_IL2RA,1.0
RBCK1,True,2.499592867833912,2,False,0.0,,False,True,,,,,,,,
BATF,True,1.536764686424658,3,True,0.57567866228703,4.0,False,False,True,0.004429,pos_regulator,IL2RA,True,0.00045,loss_raises_IL2RA,1.0
TBX21,True,1.3472188912744183,4,True,0.6228324218591725,5.0,False,True,True,0.00099,neg_regulator,CTLA4,False,0.999996,loss_lowers_IL2RA,1.0
CAMSAP1,True,1.3055677851644734,5,False,0.0365924383193484,0.0,False,False,,,,,,,,
EHMT2,True,1.2618294261029428,6,False,0.0,,True,False,,,,,,,,
STAT5B,False,3.0585895897955693,7,False,,,,True,True,0.00045,pos_regulator,IL2RA,True,0.00045,loss_raises_IL2RA,1.0
RAB21,False,1.2170887911564094,8,False,,,,False,,,,,,,,
ENO1,True,1.2048722997043788,9,False,0.0,,True,False,,,,,,,,
ICAM2,True,1.228751375902045,10,True,0.282843653978389,4.0,True,False,,,,,,,,
UPF3A,False,1.2593838022556618,11,False,,,,False,,,,,,,,
SIK3,True,1.3166634964269577,12,True,0.3409022846487999,3.0,True,False,,,,,,,,
PGAM1,False,1.3010466751823075,13,False,,,,False,,,,,,,,
PIP5K1A,False,1.1554632217605916,14,False,,,,False,,,,,,,,
KRR1,True,1.1480117342445617,15,False,0.0,,False,False,,,,,,,,
TIAL1,True,1.184067088329728,16,False,0.0,,False,False,,,,,,,,
LMLN,False,1.1053102779541246,17,False,,,,False,,,,,,,,
CD2,True,1.6908950547060224,18,True,0.6800389834936047,3.0,True,False,,,,,,,,
PGS1,True,1.0854758860762947,19,False,0.031132663057395,0.0,True,False,,,,,,,,
RHOF,True,1.162849683484613,20,False,0.0,,True,False,,,,,,,,
APBB1IP,False,1.0541983424383778,21,False,,,,False,,,,,,,,
WDR44,False,1.0066128638163254,22,False,,,,False,,,,,,,,
CHUK,False,1.0057219283926453,23,False,,,,True,,,,,,,,
PPP4R2,False,1.001256140341472,24,False,,,,False,,,,,,,,
TBRG4,False,1.0451906618965665,25,False,,,,False,,,,,,,,
ZC3H10,True,1.084939867037364,26,False,0.0,,False,False,,,,,,,,
CDK2,False,0.9869414980425124,27,False,,,,False,,,,,,,,
BOD1,False,0.9868063365693496,28,False,,,,False,,,,,,,,
ATXN7L3,True,1.2086847511398306,29,False,0.0,,True,False,True,0.000275,pos_regulator,IL2,False,0.780303,loss_raises_IL2RA,1.0
LYAR,False,0.981146169499682,30,False,,,,False,,,,,,,,
PRKCSH,False,1.1042897227858233,31,False,,,,False,,,,,,,,
PANK4,False,0.973206426225538,32,False,,,,False,,,,,,,,
NDUFB4,True,0.953545832232447,33,False,0.0,,True,False,,,,,,,,
COA1,False,0.9892271182545126,34,False,,,,False,,,,,,,,
MUS81,False,0.9400702579923208,35,False,,,,False,,,,,,,,
CBY1,False,0.9232184221235944,36,False,,,,False,,,,,,,,
GSS,False,1.059663409187784,37,False,,,,False,,,,,,,,
FANCM,False,1.153136808284248,38,False,,,,True,,,,,,,,
ZNF649,True,1.236551758886575,39,False,0.0,,False,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
ZNF74,False,0.901867585198799,40,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.831823,loss_lowers_IL2RA,0.0
GRK2,False,0.9618720674748212,41,False,,,,False,,,,,,,,
FBXL4,False,0.8931021496765945,42,False,,,,False,,,,,,,,
EIF4E2,True,0.8836737448076852,43,False,0.0,,True,False,,,,,,,,
PITHD1,False,0.8787342091708383,44,False,,,,False,,,,,,,,
TMEM126B,True,1.0219412392250722,45,False,0.0,,True,False,,,,,,,,
CAST,False,1.1853043583545628,46,False,,,,False,,,,,,,,
DNAJA4,False,0.8733916325962087,47,False,,,,False,,,,,,,,
SNX19,False,1.0033295752306843,48,False,,,,False,,,,,,,,
SLC25A51,False,0.8774574422024366,49,False,,,,False,,,,,,,,
EML2,True,0.8670410096947085,50,False,0.0,,False,False,,,,,,,,
BBS1,False,0.8667672236530111,51,False,,,,False,,,,,,,,
TDRKH,False,0.866726988301767,52,False,,,,False,,,,,,,,
PFDN5,False,0.9591626746693082,53,False,,,,False,,,,,,,,
BHLHE40,True,1.7102517116492764,54,True,0.6880738297889575,2.0,False,False,False,0.999996,pos_regulator,IL2RA,False,0.831823,loss_lowers_IL2RA,0.0
CARD6,False,1.0862132243543108,55,False,,,,False,,,,,,,,
VAMP1,False,0.9089054441169686,56,False,,,,False,,,,,,,,
MICAL3,False,0.8471900626330102,57,False,,,,False,,,,,,,,
