gene_name,bucket,shortlist_rank,direction_verdict,direction_basis,is_known_drug,supported,lof_tolerant,tractable,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,il2_hit,efficacy,tolerance_loss,window_rank,n_module_down,is_iei,max_nonimmune_ntpm,viability_tier
RC3H1,DEMOTED,,DISCORDANT,canonical negative regulator of T-cell activation,False,False,False,True,0.0,,0.463,0.0018995,False,False,0.4582475511558037,0.1651821867831373,645,4,False,9.9,non-depleting
PTPN2,DEMOTED,,DISCORDANT,canonical negative regulator of T-cell activation,False,True,True,True,0.762018770396247,12.0,0.619,0.49222,False,False,0.4050415664908188,0.2027342190750655,1274,3,False,34.7,non-depleting
PRKAR1A,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.158,1.8995e-09,False,False,1.565971929770568,-0.0816277143322364,1,6,False,377.5,depleting-at-rest
KRR1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.737,0.98767,True,False,1.0450472549058176,-0.0586175347885902,2,4,False,22.0,depleting-at-rest
C11orf54,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,1.058,0.91794,True,False,0.9446322649241166,-0.0404995861643294,3,5,False,530.1,non-depleting
ENO1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.927,0.97823,True,False,0.9983435407188092,0.1137178448237662,5,8,False,1002.8,depleting-at-rest
CAMSAP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0365924383193484,0.0,0.545,0.99055,True,False,0.90923452822365,0.0277360103146078,6,5,False,97.9,depleting-at-rest
LRPPRC,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.809,0.99917,True,False,0.7737250332475956,0.0159376273324953,15,8,False,45.8,non-depleting
ZNF649,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.814,0.58149,False,False,0.7562150945425754,-0.0226958594122965,16,6,False,19.9,non-depleting
UBR4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.242,1.2814e-62,False,False,1.2487007448721803,0.4814227338004506,18,15,False,157.0,non-depleting
HCCS,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,,,,False,0.967537910590042,0.2119149970558473,21,8,False,60.4,depleting-at-rest
CFAP20,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.784,0.91907,True,False,1.2606704974144665,0.506342383114607,22,13,False,40.4,non-depleting
RHOF,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.527,0.33916,False,False,0.6989401313656717,-0.1298370018341863,29,3,False,30.5,non-depleting
COMMD10,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.811,0.7109,False,False,0.673123498567263,-0.0125541808105557,32,4,False,33.0,non-depleting
PGS1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.031132663057395,0.0,0.999,0.93862,True,False,0.650345091759825,-0.1743855656741426,35,5,False,26.7,depleting-at-rest
RBCK1,GATE_ONLY,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,False,False,False,False,0.0,,0.891,0.99075,True,False,1.2023568811254397,0.5566893400584595,40,14,True,83.7,depleting-at-rest
CCNT1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.311,3.086e-06,False,False,0.9474975450697884,0.3276604642425375,47,6,False,11.3,depleting-at-rest
RICTOR,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.038249902710691,0.0,0.305,7.9583e-09,False,False,0.6044534570983559,-0.0246715406628633,49,4,False,24.3,non-depleting
MMAB,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.875,0.98057,True,False,0.7246089920608478,0.1432867849919862,55,5,False,105.3,non-depleting
CRLS1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.913,0.44308,False,False,0.5694495401374042,-0.010762161283113,61,5,False,158.4,non-depleting
ATP5PO,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.871,0.96966,True,False,0.7605955566070555,0.1881984964679278,63,10,False,1494.1,non-depleting
TOMM70,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.298,2.019e-07,False,False,0.5648748374368439,-0.0614151808426938,64,3,False,71.0,depleting-at-rest
SCAF4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.286,4.2611e-11,False,False,0.5563350750364808,-0.0925388467487008,67,4,False,17.5,non-depleting
IBA57,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.801,0.25669,False,False,0.5468776092570635,-0.3868692438957458,72,5,False,5.6,non-depleting
USP22,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.494,0.017035,False,False,0.8274649390088936,0.2768874058033066,73,12,False,119.1,non-depleting
TIAL1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.213,2.7468e-09,False,False,0.5684981127155964,0.0299581517507533,78,4,False,40.8,non-depleting
BRAT1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.392,0.0037243,False,False,0.5370687317406877,-0.2597122538760445,79,3,False,32.5,depleting-at-rest
RNF20,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.841,0.99907,True,False,0.9119870463816416,0.3737927751095761,86,8,False,30.4,depleting-at-rest
EML2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.845,0.9981,True,False,0.5225273485415594,-0.2773131009962299,89,3,False,51.7,non-depleting
COMMD8,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.37,0.77326,False,False,0.5438856556140995,0.0225245682264476,92,3,False,42.2,depleting-at-rest
PGK1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,1.058137596033452,0.5223083721072286,94,3,False,423.5,depleting-at-rest
CNOT4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0411294945074996,0.0,0.237,1.101e-06,False,False,0.5135733942219414,-0.0747592622862649,98,5,False,21.1,non-depleting
C1D,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.827,0.33444,False,False,0.5019806236172266,-0.1074755805322663,107,6,False,44.0,depleting-at-rest
POLG,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.847,0.99955,True,False,0.4999999690546755,-0.4197614568989993,109,9,False,22.0,non-depleting
ATXN7L3,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.228,1.6492e-08,False,False,0.562702870519914,0.0742911057828763,123,6,False,92.3,non-depleting
NDUFB4,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,True,True,0.0,,1.134,0.89963,False,False,0.6045556497959416,0.1157027235076289,124,5,False,887.5,non-depleting
