gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
STAT3,1.5980760477027087,925.0,1593,False,-0.19856
BATF,1.536764686424658,377.0,587,False,0.015185
TBX21,1.3472188912744183,40.0,403,False,-0.45892
STAT5B,3.0585895897955693,1135.0,1060,True,0.42837
ATXN7L3,1.2086847511398306,545.0,503,True,1.2628
ZNF649,1.236551758886575,105.0,1174,False,0.025278
ZNF74,0.901867585198799,3.0,6,False,0.12075
BHLHE40,1.7102517116492764,465.0,1687,False,0.14577
ERF,0.7592791537180767,52.0,3,False,-0.12801
MLX,0.7552856251205794,31.0,4,False,0.084688
ZNF384,0.7418675780634987,73.0,70,False,-0.19193
ZNF284,0.8235494968938073,2.0,2,False,0.087563
IFNGR2,0.7327598724240809,4.0,2,False,0.018603
ZNF786,0.6906014587849681,6.0,6,False,-0.02996
PPARD,0.6801006482381969,2.0,2,False,-0.11885
ZNF354A,0.7397199123747704,2.0,2,False,0.038722
CCL5,0.6573106597313824,98.0,3,False,-0.14223
EGR3,0.8432150954127856,11.0,2,False,-0.0061331
ZNF71,0.6493678028919021,292.0,75,False,-0.0015732
ZNF343,0.8489274800645084,5.0,9,False,-0.06655
CXCR5,0.6825847747190971,0.0,1,False,0.11615
NR2C2,0.6243400211247556,285.0,213,False,0.38419
TP73,0.6031858270393212,103.0,96,False,0.14781
ZNF100,1.1930269271501697,19.0,13,False,0.09106
SMAD4,1.121447797450117,114.0,74,False,0.069856
JUNB,0.5783511287523656,49.0,143,False,0.35159
TFDP2,0.6460416746519178,0.0,2,False,-0.029812
RREB1,0.5686258690269606,48.0,35,False,-0.038227
RELA,0.5580586380262695,4.0,38,True,1.035
ZNF543,0.5496745143632508,1.0,1,False,0.045428
IRF7,0.5415051516864502,3.0,6,False,-0.015338
USF2,0.5302403570910537,44.0,25,False,0.28528
SREBF2,0.5246440011570412,7.0,93,False,0.1687
PPARG,0.5144940587624254,0.0,1,False,0.062667
MBD2,1.1477559642198143,573.0,187,True,0.80369
ISL2,0.4872671252128091,2.0,2,False,-0.13352
RNF20,1.3057471439276738,233.0,935,False,-0.48441
ZBTB48,0.6437687597741785,33.0,24,False,-0.019844
CXXC1,2.224851411522087,536.0,853,False,-0.51984
NFKB1,0.4403938219556944,90.0,63,True,1.2304
MEF2D,0.5984587240255317,6.0,35,False,-0.14144
ZNF148,0.4293849334375548,1355.0,493,False,-0.19761
GMEB1,1.0237176640697427,244.0,559,False,-0.41739
E2F6,0.4235304582973208,6.0,20,False,-0.035966
CUX1,0.5722480613839376,29.0,2,False,0.12497
ZNF805,0.4082109287616194,0.0,1,False,-0.11448
DDX39B,0.6378225746065163,7.0,93,False,-0.16029
ZNF816,0.6880623492058162,5.0,2,False,0.0047817
USP22,1.7583659091326669,1783.0,1849,True,0.63533
MXD1,0.399385126022258,4.0,2,False,-0.29314
VARS2,0.5924943703889205,54.0,1147,False,-0.23207
PKNOX1,0.3935683944607651,183.0,275,True,0.6028
