gene_name,naive_suppression,abs_score,is_suppressor,z_l2,z_l2_raw,in_top,in_induction_top,stim_downstream,stim_de_genes,rest_downstream,rest_de_genes,has_rest_row,rest_qc_pass,homeostasis_cost,tolerance_suppression,is_iei,n_cells_target
AAAS,0.21129498873046956,0.21129498873046956,True,88.27639891682243,88.60978981488235,False,False,0.0,1.0,0.0,0.0,True,False,-0.0,0.20698249902212973,0.0,844.0
AACS,0.29042482315296103,0.29042482315296103,True,114.79295884553063,116.01901726146288,False,False,16.0,17.0,4.0,5.0,True,True,-1.2237754316221159,0.5046018607603424,0.0,738.0
AAGAB,0.4135648906086236,0.4135648906086236,True,107.04057882072556,108.4567311835724,False,False,0.0,1.0,2.0,3.0,True,True,1.0986122886681098,1.6224446337922256,0.0,470.0
AAK1,-0.018480985025107158,0.018480985025107158,False,101.7228460116568,105.47962549149192,False,False,3.0,4.0,2.0,3.0,True,True,-0.2876820724517808,0.13613504548788263,0.0,1147.0
AASDH,0.12093921593560303,0.12093921593560303,True,120.29188642926276,121.06222476666824,False,False,100.0,101.0,150.0,151.0,True,True,0.4021593199736646,0.2575612057034016,0.0,515.0
AASDHPPT,0.5370627951016518,0.5370627951016518,True,103.23928872687368,103.85434396115576,False,False,2.0,3.0,12.0,13.0,True,True,1.466337068793427,0.20845998416609998,0.0,151.0
AASS,0.454226414914353,0.454226414914353,True,117.3013743430525,117.62968501067095,False,False,25.0,26.0,1.0,1.0,True,False,-2.5649493574615367,0.5206820397508178,0.0,416.0
ABCA3,0.39492312111635713,0.39492312111635713,True,125.71664459764294,126.14129721919616,False,False,184.0,185.0,1.0,1.0,True,False,-4.527208644518379,-0.2138808133202151,0.0,120.0
ABCA5,0.38159679434444993,0.38159679434444993,True,110.68631075526044,111.50237527641995,False,False,34.0,35.0,3.0,4.0,True,True,-2.169053700369523,0.688351079940752,0.0,843.0
ABCA7,-0.02138808271487852,0.02138808271487852,False,101.60711031842996,102.02134148423984,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,-0.775115886515497,0.0,243.0
ABCB6,0.407118108946537,0.407118108946537,True,97.76624522640886,98.28254567824848,False,False,0.0,1.0,3.0,4.0,True,True,1.3862943611198906,0.563804741991052,0.0,197.0
ABCB8,-0.2802808075489286,0.2802808075489286,False,104.97872375034086,105.5316934750841,False,False,3.0,4.0,2.0,3.0,True,True,-0.2876820724517808,-0.15187741695977733,0.0,339.0
ABCC1,0.2856136713499098,0.2856136713499098,True,112.81707795322922,114.77778526436472,False,False,36.0,37.0,87.0,88.0,True,True,0.8664189018339825,0.3151817171227839,0.0,540.0
ABCC4,0.7055936498204114,0.7055936498204114,True,115.21442330590662,115.67749545085904,False,False,34.0,35.0,0.0,1.0,True,True,-3.5553480614894135,-0.14238988222530918,0.0,165.0
ABCC5,0.836915732091415,0.836915732091415,True,103.93219064501451,104.55545629286264,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.117251463879413,0.0,399.0
ABCD2,-0.09664455104199245,0.09664455104199245,False,106.70199722783312,107.28425474658076,False,False,14.0,15.0,5.0,6.0,True,True,-0.9162907318741551,-0.11896724968871003,0.0,106.0
ABCD3,0.40693858658192433,0.40693858658192433,True,102.29619977511793,103.00475951128462,False,False,0.0,1.0,5.0,6.0,True,True,1.791759469228055,0.38835910514730937,0.0,391.0
ABCF2,-0.07603699954137919,0.07603699954137919,False,113.2848713991566,113.80015857568492,False,False,4.0,5.0,0.0,1.0,True,True,-1.6094379124341003,0.36993945758140495,0.0,362.0
ABHD10,-0.4818623917377665,0.4818623917377665,False,95.06374582916236,98.67260442749452,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,-0.23377268090849995,0.0,962.0
ABHD12,0.5748447097447736,0.5748447097447736,True,101.01884027707484,102.15980143470648,False,False,0.0,1.0,446.0,447.0,True,True,6.102558594613569,1.2603959289250533,0.0,559.0
