nomination_rank,gene_name,tier,window_rank,viability_tier,ot_genetic_max,ot_genetic_supported,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,tractable,sm_pocket,clinical_precedent,il2_hit,selectivity,fail_homeostasis,is_known_drug
1,CD2,1,18,non-depleting,0.6800389834936047,True,3.0,1.144,0.8761,False,True,False,True,True,5.288267030694535,False,True
2,CD28,1,508,non-depleting,0.7200950933942434,True,12.0,0.634,0.21855,False,True,False,True,True,5.703226764722478,False,True
3,ICAM2,1,10,depleting-at-rest,0.282843653978389,True,4.0,1.167,0.86143,False,True,False,False,False,1.9459101490553128,True,False
4,PTPN2,1,3001,non-depleting,0.762018770396247,True,12.0,0.619,0.49222,False,True,False,False,False,-0.1093846659575517,True,False
5,ZAP70,2,2475,depleting-at-rest,0.7324002023000735,True,3.0,0.625,0.99069,True,True,True,False,True,3.388015644960091,False,False
6,STAT3,2,1,depleting-at-rest,0.7757925671777649,True,8.0,0.11,1.0411e-22,False,True,False,False,False,0.5431276247039811,True,False
7,BATF,2,3,depleting-at-rest,0.57567866228703,True,4.0,0.739,0.42763,False,False,False,False,False,0.4418327522790388,True,False
8,TBX21,2,4,non-depleting,0.6228324218591725,True,5.0,0.381,6.4763e-05,False,False,False,False,False,2.2878428112568425,True,False
9,SIK3,2,12,non-depleting,0.3409022846487999,True,3.0,0.269,1.7797e-16,False,True,False,False,False,1.3747652737692275,True,False
10,BHLHE40,2,54,non-depleting,0.6880738297889575,True,2.0,0.219,1.6599e-06,False,False,False,False,False,1.2871140410302573,True,False
11,UFM1,2,60,non-depleting,0.10201075674111859,True,1.0,0.85,0.35704,False,False,False,False,False,-0.1870003488455447,True,False
12,USP24,2,70,non-depleting,0.3458807395917997,True,1.0,0.361,2.1594e-16,False,False,False,False,False,3.218875824868201,False,False
13,MTRR,2,134,non-depleting,0.21890089702499915,True,1.0,0.933,0.97966,True,False,False,False,False,1.1856236656577397,True,False
14,BRPF1,2,137,non-depleting,0.18984523168994064,True,1.0,0.206,8.9841e-17,False,True,False,False,False,-0.225382636712923,True,False
15,RFT1,2,218,depleting-at-rest,0.5392664522561503,True,1.0,0.895,0.98852,True,True,False,False,False,1.4552872326068422,True,False
16,MEN1,2,221,depleting-at-rest,0.33685208934974675,True,1.0,0.206,1.5823e-10,False,False,False,True,False,1.271708687787238,True,False
17,SMAD4,2,237,non-depleting,0.3748776680850805,True,1.0,0.227,8.4418e-08,False,True,True,False,False,-0.42744401482694,True,False
18,MBD2,2,398,depleting-at-rest,0.36644869245690675,True,2.0,0.54,0.053187,False,False,False,False,False,-1.1161874334896176,True,False
19,BRD1,2,438,depleting-at-rest,0.2399149086037292,True,1.0,0.338,2.5978e-09,False,True,True,False,False,0.7303261838016999,True,False
20,MFSD6,2,470,depleting-at-rest,0.613550391028298,True,2.0,0.611,0.94491,True,True,False,False,False,1.0647107369924282,True,False
21,SMG7,2,481,depleting-at-rest,0.41176769884916326,True,1.0,0.372,1.4622e-08,False,False,False,False,False,-0.610940617618855,True,False
22,MED13,2,534,non-depleting,0.5472390539660802,True,2.0,0.131,1.0311e-33,False,False,False,False,False,2.661530185467317,False,False
23,TBL1XR1,2,598,non-depleting,0.8215243810056689,True,2.0,0.174,1.0627e-09,False,False,False,False,False,1.1464683098457442,True,False
24,DDX39B,2,652,depleting-at-rest,0.20768673360070922,True,1.0,0.219,3.7305e-08,False,False,False,False,False,2.463853240590168,False,False
25,PDSS1,2,734,non-depleting,0.26054151536005804,True,1.0,1.164,0.83203,False,False,False,False,False,1.2396908869280154,True,False
26,MALT1,2,921,depleting-at-rest,0.5557747588892444,True,1.0,0.581,0.36491,False,False,False,True,False,5.867176021564637,False,False
27,COMMD7,2,1019,non-depleting,0.13439050016436685,True,4.0,1.148,0.80259,False,False,False,False,False,3.6375861597263857,False,False
28,TNPO1,2,1032,non-depleting,0.4844792008072639,True,2.0,0.152,9.6444e-13,False,True,True,False,False,0.7112409240026443,True,False
29,HDAC7,2,1045,non-depleting,0.7433455696392026,True,6.0,0.344,4.2086e-09,False,True,True,True,False,0.458307589482545,True,False
30,RTRAF,2,1114,depleting-at-rest,0.5103230123590625,True,1.0,0.645,0.29021,False,False,False,False,False,-0.6766894682569022,True,False
31,WAPL,2,1167,depleting-at-rest,0.4165393111276245,True,1.0,0.083,3.0371e-22,False,False,False,False,False,-1.5174865713912418,True,False
32,ZNF644,2,1368,non-depleting,0.2235476338411937,True,1.0,0.224,2.0297e-15,False,False,False,False,False,0.0296486939221294,True,False
33,COG6,2,1639,depleting-at-rest,0.6546775918977833,True,5.0,1.058,0.90875,True,True,False,False,False,-0.2072678247405317,True,False
34,TUFM,2,1888,depleting-at-rest,0.5004247668002211,True,2.0,0.703,0.99597,True,False,False,False,False,1.3553321355159245,True,False
35,PPP2R2A,2,2026,non-depleting,0.4140901661120414,True,2.0,0.364,0.00015893,False,False,False,False,False,3.044522437723423,False,False
36,PTEN,2,2028,non-depleting,0.3428301945795701,True,2.0,0.686,0.95031,True,True,False,False,False,-1.8428731497848567,True,False
37,EGR2,2,2059,non-depleting,0.6267582177882558,True,10.0,0.402,0.0031007,False,False,False,False,False,5.541263545158426,False,False
38,CASC3,2,2748,non-depleting,0.15388483532613217,True,1.0,0.467,0.0025292,False,False,False,False,False,-0.1865239227650335,True,False
39,DR1,2,2962,non-depleting,0.3026032940728855,True,1.0,0.65,0.3046,False,False,False,False,False,1.7458497679239775,True,False
40,FOSL2,2,3398,non-depleting,0.7486099105998748,True,6.0,0.28,0.00030643,False,False,False,False,False,1.7097858862683823,True,False
41,EIF3H,2,3785,depleting-at-rest,0.3034408152670458,True,1.0,0.8,0.99566,True,False,False,False,False,-1.5423429348552276,True,False
42,SEL1L,2,3793,depleting-at-rest,0.3458807395917997,True,1.0,0.542,0.86093,False,True,False,False,False,-1.6770965609079154,True,False
43,STAT5A,2,4631,non-depleting,0.12201422271144846,True,2.0,0.365,5.0856e-08,False,True,False,False,False,3.2657594107670507,False,False
44,ARPC2,2,4837,depleting-at-rest,0.37975387741461536,True,1.0,0.319,0.0001653,False,True,False,False,False,1.3735405650573205,True,False
45,FOXO1,2,4869,non-depleting,0.5070759194871427,True,7.0,0.348,0.00013447,False,False,False,False,False,-0.8257116109818075,True,False
46,AEBP2,2,4991,non-depleting,0.2932639141542026,True,1.0,0.461,0.01324,False,False,False,False,False,3.671420232742168,False,False
47,CD3E,3,1890,depleting-at-rest,0.0,False,,0.66,0.53044,False,True,True,True,True,5.760162808092309,False,True
48,MED23,3,2058,non-depleting,0.0,False,,0.769,0.99999,True,False,False,False,True,0.9108706644048166,True,False
49,TAF13,3,2427,non-depleting,0.0,False,,1.031,0.71883,False,False,False,False,True,-0.0419446387504658,True,False
50,ITK,3,2520,non-depleting,0.03053544624785973,False,0.0,0.645,0.99869,True,True,True,True,True,6.7518808922030304,False,False
51,RBCK1,3,2,depleting-at-rest,0.0,False,,0.891,0.99075,True,False,False,False,False,4.931592086755803,False,False
52,CAMSAP1,3,5,depleting-at-rest,0.03659243831934845,False,0.0,0.545,0.99055,True,False,False,False,False,1.4156219762144104,True,False
53,EHMT2,3,6,non-depleting,0.0,False,,,,,True,True,False,False,-0.3497062746226387,True,False
54,ENO1,3,9,depleting-at-rest,0.0,False,,0.927,0.97823,True,True,True,False,False,3.80666248977032,False,False
55,KRR1,3,15,depleting-at-rest,0.0,False,,0.737,0.98767,True,False,False,False,False,0.1236139559671767,True,False
56,TIAL1,3,16,non-depleting,0.0,False,,0.213,2.7468e-09,False,False,False,False,False,1.4691303666990398,True,False
57,PGS1,3,19,depleting-at-rest,0.031132663057395083,False,0.0,0.999,0.93862,True,True,False,False,False,-1.7682614979607507,True,False
58,RHOF,3,20,non-depleting,0.0,False,,1.527,0.33916,False,True,False,False,False,-0.4941932237168487,True,False
59,ZC3H10,3,26,non-depleting,0.0,False,,0.779,0.94028,True,False,False,False,False,-0.0565426502736947,True,False
60,ATXN7L3,3,29,non-depleting,0.0,False,,0.228,1.6492e-08,False,True,False,False,False,-0.0800427076735363,True,False
61,NDUFB4,3,33,non-depleting,0.0,False,,1.134,0.89963,False,True,False,True,False,2.219203484054995,True,False
62,ZNF649,3,39,non-depleting,0.0,False,,0.814,0.58149,False,False,False,False,False,2.4055843324661925,False,False
63,EIF4E2,3,43,non-depleting,0.0,False,,0.727,0.91512,True,True,True,False,False,2.8903717578961645,False,False
64,TMEM126B,3,45,non-depleting,0.0,False,,1.826,0.26585,False,True,False,False,False,2.724014052091224,False,False
65,EML2,3,50,non-depleting,0.0,False,,0.845,0.9981,True,False,False,False,False,1.6422277352570918,True,False
66,UBR4,3,66,non-depleting,0.0,False,,0.242,1.2814e-62,False,True,False,False,False,-0.862006048387082,True,False
67,TOMM70,3,80,depleting-at-rest,0.0,False,,0.298,2.019e-07,False,True,False,False,False,2.724579503053421,False,False
68,SCAF4,3,81,non-depleting,0.0,False,,0.286,4.2611e-11,False,False,False,False,False,1.2746309551319488,True,False
69,ACAD9,3,86,non-depleting,0.0,False,,0.885,0.99327,True,True,False,False,False,5.717027701406222,False,False
70,ATP5PO,3,93,non-depleting,0.0,False,,0.871,0.96966,True,True,False,False,False,1.0047162029009824,True,False
71,CNOT4,3,97,non-depleting,0.04112949450749963,False,0.0,0.237,1.101e-06,False,False,False,False,False,1.8960777753074376,True,False
72,SRR,3,99,non-depleting,0.0,False,,0.865,0.98457,True,True,True,False,False,-0.5151174758475321,True,False
73,SMG1,3,109,non-depleting,0.0,False,,0.1,1.5885000000000002e-54,False,True,False,False,False,-0.1763443698250704,True,False
74,MTHFD2,3,129,non-depleting,0.0,False,,0.985,0.95411,True,False,False,False,False,5.990213765206329,False,False
75,CCNT1,3,138,depleting-at-rest,0.0,False,,0.311,3.086e-06,False,True,True,False,False,4.020877410340228,False,False
76,CRLS1,3,147,non-depleting,0.0,False,,1.913,0.44308,False,True,False,False,False,2.010129741789608,True,False
77,TWNK,3,150,non-depleting,0.0,False,,0.76,0.99923,True,True,False,False,False,1.2373162603810617,True,False
78,MTHFD1L,3,155,non-depleting,0.0,False,,0.856,0.99781,True,False,False,False,False,4.272490747605574,False,False
79,RC3H1,3,158,non-depleting,0.0,False,,0.463,0.0018995,False,True,False,False,False,1.0898786086993546,True,False
80,RICTOR,3,180,non-depleting,0.03824990271069104,False,0.0,0.305,7.9583e-09,False,True,False,False,False,0.209350229181874,True,False
81,WDR82,3,185,non-depleting,0.0,False,,0.439,0.0034575,False,False,False,False,False,0.2209081999123903,True,False
82,GAS2L1,3,202,non-depleting,0.0,False,,,,,True,False,False,False,3.0823467463907623,False,False
83,IBA57,3,203,non-depleting,0.0,False,,1.801,0.25669,False,False,False,False,False,4.185316340427828,False,False
84,MMAB,3,214,non-depleting,0.0,False,,0.875,0.98057,True,True,True,False,False,-0.1176338821025231,True,False
85,KDM1A,3,216,non-depleting,0.0,False,,0.639,0.99658,True,True,True,True,False,0.3669243684423122,True,False
86,PSIP1,3,227,non-depleting,0.0,False,,0.397,0.00023385,False,False,False,False,False,1.3700338402481105,True,False
87,BRAT1,3,243,depleting-at-rest,0.0,False,,1.392,0.0037243,False,False,False,False,False,-0.4168938039317877,True,False
88,TIPARP,3,255,depleting-at-rest,0.03303422072223039,False,0.0,0.346,3.2813e-06,False,False,False,False,False,-1.4000876832522264,True,False
89,COMMD8,3,265,depleting-at-rest,0.0,False,,1.37,0.77326,False,False,False,False,False,1.5920461697222317,True,False
90,C11orf54,3,273,non-depleting,0.0,False,,1.058,0.91794,True,,,,False,-0.4650446261402585,True,False
91,GPI,3,277,non-depleting,0.0,False,,0.862,0.99503,True,True,True,False,False,2.046850974366466,True,False
92,COMMD5,3,311,depleting-at-rest,0.0,False,,1.753,0.49791,False,False,False,False,False,3.327730229780283,False,False
93,FAM98B,3,331,non-depleting,0.0,False,,1.283,0.61093,False,,,,False,0.4690244027563537,True,False
94,RNF20,3,427,depleting-at-rest,0.0,False,,0.841,0.99907,True,False,False,False,False,1.38629436111989,True,False
95,HCCS,3,443,depleting-at-rest,0.0,False,,,,,False,False,False,False,0.3062516939783286,True,False
96,DPH1,3,454,depleting-at-rest,0.0,False,,1.323,0.050731,False,False,False,False,False,0.4480247225269602,True,False
97,GAB2,3,459,non-depleting,0.0,False,,0.559,0.32783,False,True,False,False,False,2.6567569067146595,False,False
98,SLC25A28,3,469,non-depleting,0.0,False,,0.576,0.14999,False,True,False,False,False,3.016934481204593,False,False
99,LRPPRC,3,476,non-depleting,0.0,False,,0.809,0.99917,True,False,False,False,False,0.913440619826944,True,False
100,KMT2E,3,487,depleting-at-rest,0.031614828624881915,False,0.0,0.217,2.0402000000000002e-19,False,True,False,False,False,0.9760099665757772,True,False
