target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,n_cells_target,rest_de_genes,is_core_essential,is_iei,rank,in_top,matched_background
STAT5B,3.0585895897955693,1.6157074605881292,1060,107.0,1135.0,False,True,1,True,False
VAV1,2.5339242254095384,2.399886269763792,3575,321.0,70.0,False,False,2,True,False
RBCK1,2.499592867833912,0.8140389728025087,692,164.0,4.0,False,True,3,True,False
IL2RB,2.455272000544853,2.522370724417121,1070,80.0,,False,True,4,True,False
CFAP20,2.430327649566531,1.4188453867022206,1293,177.0,455.0,False,False,5,True,False
NSD1,2.3642663658029375,2.098088021889593,2175,683.0,1767.0,False,False,6,True,False
CXXC1,2.2248514115220877,1.567874009376733,853,80.0,536.0,False,False,7,True,False
UBR4,2.0643535911871167,1.098539327107757,510,178.0,1209.0,False,False,8,True,False
TADA2B,1.9397002012794267,2.569772161179807,5260,1178.0,4681.0,False,False,9,True,False
WDR82,1.8913008628754648,1.1021817035577464,1563,313.0,1253.0,False,False,10,True,False
INO80,1.888626657954184,1.2082706235758376,245,125.0,341.0,False,True,11,True,False
BATF,1.8344516392559067,-1.1773002955910399,587,129.0,377.0,False,False,12,True,False
GATA3,1.7943150146229199,3.1669649688804205,1253,784.0,888.0,False,False,13,True,False
CD3G,1.7828024295326828,2.268228998091474,1374,126.0,5.0,False,True,14,True,False
CD247,1.77257769245243,2.2913182790125495,828,266.0,5.0,False,True,15,True,False
DHX36,1.762948494072232,1.9916077668727117,2299,142.0,2327.0,False,False,16,True,False
USP22,1.7583659091326667,1.2054404580422595,1849,1260.0,1783.0,False,False,17,True,False
BRD1,1.7356446373375425,1.1130094414696872,136,245.0,65.0,False,False,18,True,False
MED13,1.7219213277321244,1.1391675330522795,629,1501.0,43.0,False,False,19,True,False
BHLHE40,1.7102517116492766,0.7579982200523717,1687,864.0,465.0,False,False,20,True,False
SUPT20H,1.7097750781348673,2.274217095392214,3312,731.0,3072.0,False,False,21,True,False
CD2,1.6908950547060226,0.537310302247474,989,478.0,4.0,False,False,22,True,False
N6AMT1,1.6723604422726828,1.7518422730175809,511,201.0,350.0,False,False,23,True,False
LCK,1.6589082752594686,1.0746371312145055,916,107.0,309.0,False,True,24,True,False
HECTD1,1.6363680171392736,0.8878686999117102,34,264.0,16.0,False,False,25,True,False
SGF29,1.6300337832886005,2.308670620119186,4869,993.0,3447.0,False,False,26,True,False
KDM1A,1.6124148848252784,0.8851038182030425,2913,559.0,2018.0,False,False,27,True,False
CCNT1,1.5999614462184824,0.8028690217352864,222,136.0,3.0,False,False,28,True,False
STAT3,1.5980760477027087,-0.6341036546601381,1593,241.0,925.0,False,True,29,True,False
RFT1,1.586618809297496,0.8635136924423841,29,100.0,6.0,False,False,30,True,False
TMX1,1.5565544217881715,2.31672342480311,1960,538.0,1.0,False,False,31,True,False
IRF2BP1,1.5468284561139631,1.8318427527498917,106,227.0,58.0,False,False,32,True,False
ARID1A,1.5259537407967816,1.2776839432786442,64,141.0,101.0,False,False,33,True,False
NDUFB1,1.5011552762549856,0.6740249622991119,2,207.0,0.0,False,False,34,True,False
SMARCE1,1.5000068632863088,1.9317919730623696,1586,106.0,2380.0,False,False,35,True,False
CREBBP,1.4821222660496272,1.2976593720182077,1957,1166.0,1562.0,False,False,36,True,False
PAK2,1.4702428652892203,1.024630112085323,60,669.0,147.0,False,False,37,True,False
RUNX2,1.4322053943274795,1.7345919150282871,35,176.0,10.0,False,False,38,True,False
MED1,1.4222212067249824,1.2011568186085109,232,142.0,252.0,False,False,39,True,False
SMARCA4,1.420026796054555,1.5813508463522998,301,222.0,40.0,False,False,40,True,False
EXTL3,1.419747639282569,0.799260240238968,1,152.0,3.0,False,True,41,True,False
LUC7L3,1.4171496777878223,0.9959963455522389,59,44.0,165.0,False,False,42,True,False
GJC1,1.4042029430550553,1.234942341501338,134,159.0,285.0,False,False,43,True,False
TUFM,1.3982256884624575,1.133852324281363,476,71.0,122.0,False,False,44,True,False
CCNC,1.3940576127365376,1.5055823694749313,4091,3051.0,2731.0,False,False,45,True,False
MFSD6,1.3924326947794146,0.821949395613577,86,111.0,29.0,False,False,46,True,False
VBP1,1.372404404356867,1.2934193062036714,52,232.0,11.0,False,False,47,True,False
TADA1,1.3603052335196817,1.7989426374463002,3114,372.0,2944.0,False,False,48,True,False
TBX21,1.3472188912744183,-0.853489876873171,403,382.0,40.0,False,True,49,True,False
TESK2,1.3461760287460385,1.1391879783212937,71,1628.0,9.0,False,False,50,True,False
SMARCB1,1.340335574395582,2.0178588510209803,1037,178.0,2130.0,False,False,51,True,False
ATP6AP2,1.337834558105506,1.54503430579119,354,32.0,3.0,False,False,52,True,False
WAC,1.327978055680215,1.8803982044233045,1669,389.0,1165.0,False,False,53,True,False
SMARCC1,1.3263348628905414,1.2329397889537863,201,195.0,138.0,False,False,54,True,False
SIK3,1.3166634964269575,0.11757642636160043,1810,324.0,457.0,False,False,55,True,False
ALKBH7,1.3118038601981297,1.075026840466253,3,407.0,1.0,False,False,56,True,False
RNF20,1.305747143927674,0.7281001665023861,935,83.0,233.0,False,False,57,True,False
CAMSAP1,1.3055677851644736,-0.2874325990892255,518,145.0,125.0,False,False,58,True,False
PGAM1,1.3010466751823078,0.10860991879136445,60,126.0,17.0,False,False,59,True,False
PLCG1,1.2858882914707368,2.5468246730462765,2218,267.0,3.0,False,True,60,True,False
PFDN4,1.2815493326425258,1.9017203483507013,75,160.0,12.0,False,False,61,True,False
SETD1B,1.2707166960141363,1.5350152749025439,85,182.0,109.0,False,False,62,True,False
BRPF1,1.2671619594912116,0.5068146987850302,802,664.0,1005.0,False,False,63,True,False
CD28,1.2647382355677592,0.7255215378576593,1798,514.0,5.0,False,True,64,True,False
EHMT2,1.2618294261029426,-0.2584750431720415,1007,629.0,1429.0,False,False,65,True,False
NDFIP2,1.2606633673122574,1.0304679410189366,128,442.0,2.0,False,False,66,True,False
DPY19L3,1.260249133464594,1.4375165742015925,74,84.0,14.0,False,False,67,True,False
UPF3A,1.2593838022556623,0.06636182576890638,12,338.0,1.0,False,False,68,True,False
UFM1,1.2535856361990054,0.3661722542052552,1385,584.0,1670.0,False,False,69,True,False
PEPD,1.249303294515527,0.4985334305327434,7,542.0,1.0,False,True,70,True,False
MIA2,1.2474053793604547,0.9431270119241977,1566,567.0,53.0,False,False,71,True,False
RC3H1,1.2443429639070858,0.5076131920325357,341,757.0,114.0,False,False,72,True,False
