gene_name,efficacy,module_suppression,z_induction_matched,z_expression_matched_recovery_control,z_effector_positive_control,in_naive_top100,is_il2_axis
AAAS,0.19434113180614077,0.3276883086396588,3.8483234238008834,4.625082181526066,4.6594277575376,False,False
AACS,0.09153264531050809,0.1609101020731032,1.8824552917599695,2.103722532127532,0.9292156620796025,False,False
AAGAB,0.25115744106369675,0.7761668281422721,8.378029749903861,9.981122722197126,6.248223190321644,False,False
AAK1,0.029258695954922587,0.05733747531970342,1.2296885836480174,0.7956100499757092,1.4792720182497132,False,False
AASDH,0.2555716909992043,0.5108441151678562,4.846219561632279,6.596061542506327,5.328676693232921,False,False
AASDHPPT,0.3862804062082432,0.2897348503271739,1.9286464236270926,2.4937375930138788,6.143352311981753,False,False
AASS,0.3736406351090409,0.37973540814386475,3.039113282554043,5.036818885234442,6.46443686454107,False,False
ABCA3,0.4295401335984934,-0.3185010817315843,-2.236977444871818,-2.1432646275713645,5.037116652804296,False,False
ABCA5,0.2735457106609829,0.27113739939199555,3.525262525716289,4.329842677058644,7.88020084821518,False,False
ABCA7,0.0892732757201884,-0.42233282865749466,-3.738185375737857,-5.008150785877866,2.3655770407476533,False,False
ABCB6,0.21969450943288393,0.32412543670377797,3.0186082487870025,3.325556943445215,2.904223861478424,False,False
ABCB8,-0.118591249542078,0.01570963818165991,0.3169858773706434,-0.09358995115740941,-2.5338636727033568,False,False
ABCC1,0.18363634997513145,0.17820370983746317,1.6757101393645386,2.4848157541552034,4.60025289556231,False,False
ABCC4,0.457133533724118,-0.031477666873898774,-0.4625552274022898,-0.12871136835323035,8.157728301497885,False,False
ABCC5,0.36685137095628306,-0.04900274674097697,-0.8769890357474238,-0.5307326960009774,8.559273217187938,False,False
ABCD2,0.109828285058029,0.21175261586904526,1.3793627133656348,1.3090364597088187,3.556137185318198,False,False
ABCD3,0.16496887028915808,0.33171097685893375,3.917234927880033,4.366033063012393,3.864165613734607,False,False
ABCF2,0.09225670908926986,0.4672701429161761,3.601722160355824,4.303074926021028,0.9351738005645275,False,False
ABHD10,-0.23886500280059408,-0.043635485900772944,-0.40680973107271,-0.6987618463151226,-8.325911041495923,False,False
ABHD12,0.2770832767128013,0.514160704281595,4.885576917683609,5.664784816609683,6.945620283575992,False,False
ABHD13,0.034038876576232724,0.525101650506258,5.5691315493905424,7.999089101984477,0.3195412973992871,False,False
ABHD14A,0.2629467296646908,0.5452456540531583,4.337159602813399,7.692913405433805,6.356453802326393,False,False
ABHD14B,0.336680936452467,0.3566703979546825,4.601214556155368,7.287129177637677,9.822933322715276,False,False
ABHD16A,-0.2529581224080175,-0.14633500539801186,-1.9851001418690897,-2.2268171127992655,-6.759316044659214,False,False
ABHD2,0.3316553290715092,0.31090154581599766,3.6440588135537832,4.609157362029652,9.549014109821517,False,False
ABHD3,0.14402454340597615,-0.18846241301960415,-2.682143379580466,-3.6902532971786943,5.486124381152741,False,False
ABHD4,0.2396383230043284,0.1455789018008444,1.6335769291262234,2.083039351905159,9.303756171538948,False,False
ABHD5,0.24745760837686248,0.07206159788701269,0.1932106298982968,0.6173954947082059,6.621516634995843,False,False
ABHD6,0.17683323942765128,0.5314737730142143,5.292030215879515,6.52925623817902,4.807367069624963,False,False
ABHD8,0.48873758513946086,0.6591964583430026,4.930946867569323,6.284530447762872,11.074893407828496,False,False
ABI1,0.10916442010784522,-0.22522579335297147,-2.174289507150409,-3.1928432384770837,2.823799913246179,False,False
ABI2,0.3469122647366021,-0.009359329731927978,-0.6816999658704445,-0.31446618108909313,6.1812835942907345,False,False
ABL2,0.32913585796632105,-0.10289019801550442,-1.7745508856849646,-1.851727490621698,8.004669451975225,False,False
ABRACL,0.16937644079735037,0.30598033734390306,4.227074907233722,5.038440241881738,5.307000992865159,False,False
ABRAXAS1,-0.073155096557457,-0.07485272238651912,-0.5366557156256695,-0.6397633294192084,-1.364098347564906,False,False
ABRAXAS2,0.24752327188616619,0.15017347182664606,1.2442283871844466,2.3545113504253696,7.341957680670624,False,False
ABTB1,0.23943738297384698,0.10320839037497838,0.9197421436007779,1.5041224247299345,6.758720002774963,False,False
ACAA2,0.16108636010903865,0.054057687520980835,0.26722851653720076,0.7179224333062623,5.074382261648708,False,False
ACACA,0.07452111510792747,-0.05430278295858039,-0.782953560065248,-0.5634376911756006,1.5425679917168809,False,False
ACAD9,0.4274250176968053,-0.1467751156952646,-1.6101696069600493,-1.9510837187448122,8.97696476053907,False,False
ACADM,-0.08247939936518378,0.24176415511303478,3.2877936692345218,4.511814053851123,-1.9622585209230843,False,False
ACADS,0.007641635020263493,0.5868858844041824,5.479227384402181,6.941509336855899,-0.3575848020163688,False,False
ACADVL,0.0018893644628406037,-0.23838982068830067,-2.327823047465671,-3.323594119011371,-0.853507173065913,False,False
ACAP1,0.046049614291405305,0.26894888680221307,3.4659302367265834,3.805435610920027,1.312895290891471,False,False
ACAP2,-0.19253665080759674,0.13021728820684883,1.2948105129333398,2.019805067864961,-5.6539167152404035,False,False
ACAP3,0.14823017467278987,0.244697416615155,2.685818448664288,3.1928548782497534,3.080451255637288,False,False
ACAT1,0.15823931648537837,0.19364400663309628,2.3888304518149335,3.3676594966994724,5.098270315411598,False,False
ACAT2,0.1452985178475501,-0.12217702964941661,-1.7245546081803187,-1.7516257010366858,2.85335318812394,False,False
ACBD3,0.12265553139150143,-0.20298257966836294,-2.4212954052309805,-2.5222136697397386,3.1855815001247745,False,False
ACBD5,0.05729942207108252,0.024160512619548373,-0.2770427607414507,0.09384711758067305,1.138167885306782,False,False
ACBD6,0.21224938669183757,0.2575280736717913,2.1608468404413266,3.342171973520652,5.457352778644633,False,False
ACCS,0.15028589771827683,0.15583032292003432,1.623000045703244,2.318518372714861,4.219792308754589,False,False
ACER3,0.1489198249328183,0.028150078737073474,0.3488468858008957,0.8544743979309344,4.823432463958509,False,False
ACLY,0.3703055048827082,0.6970196680890189,3.2830894824894736,5.51889004647112,5.185119334427237,False,False
ACO1,-0.026911493856459856,-0.20411377607120407,-2.9741797400407104,-3.077023083534579,-1.3975105088883537,False,False
ACOT9,0.2609808372799307,0.37137745238012737,3.642530363413322,4.743978431097184,4.754686761056905,False,False
ACOX3,0.325822138634976,0.27035166405969197,3.5501693568360357,5.521267497962793,8.400077461159766,False,False
ACP5,0.18177805180675932,0.09186852971712749,1.3098056723098073,1.3026266551283257,5.28113577760515,False,False
ACP6,0.3018221292295493,0.05595578501621882,0.44898337684782474,0.8472241369100123,8.673717530878918,False,False
ACSF2,0.0808800482816423,0.047039720032545224,0.7219037085078418,0.9758045932509928,3.317279689362212,False,False
ACSF3,0.03798622146132402,0.1946549101008309,2.0976985744025227,2.8119645441279983,0.77826584550967,False,False
ACSL1,0.3308175511774607,0.14539109346353346,1.1911921049156808,1.1419047275796637,6.787836574080619,False,False
ACSL3,-0.11108435226196889,-0.12357873717943828,-1.268886423813362,-1.8007985508404944,-3.037191340949437,False,False
ACSL4,0.26539985023919144,0.02800200755397479,-0.18161757384701702,0.31003104160735234,8.17119245366976,False,False
ACSL5,0.24284608848392963,0.10381407712379263,0.697233714254053,0.9627116960366788,6.004685863143528,False,False
ACSM3,0.33499933837447315,0.3076048497524526,4.529368265697651,6.1936121005260985,10.383575274521586,False,False
ACSS1,0.22296096172067337,0.25872146752145553,2.705719659823023,4.2754317265619495,5.091451285528555,False,False
ACTG1,0.6604028161382303,0.12080531815687816,0.08236882762626756,0.7449222318001344,9.671160695531139,False,False
ACTN1,0.527684072854754,0.5496279419296317,5.242283629540862,7.2373622469215135,13.678414345375186,False,False
ACTN4,0.1327114487066865,-0.005252867523166869,-0.40566017099200835,-0.3918970773481691,3.0021651163218124,False,False
ACTR1A,0.20366446282423567,0.12410777952108118,1.8644697315642207,1.5657569856470888,7.04343297088952,False,False
ACTR1B,0.01563771383371204,0.021062716841697693,0.07136104526385023,0.17340416079313392,0.34313440738071144,False,False
ACTR2,0.07123718853108585,0.7962922532525327,4.535502878993034,4.928386728422787,2.119307220169023,False,False
ACTR3,0.1567059182925732,0.30710826110508704,2.7222362426047675,3.246160162040087,3.1907082346433953,False,False
ACTR5,0.14154390429030173,0.22343043627269152,2.0850944934081324,2.7840627351621032,2.9039230992635954,False,False
ACTR8,0.4612155600916594,0.8885079978240861,3.426778160727809,4.85727074813064,3.1875441179422315,False,False
ACVR1,0.13559663746855222,-0.2612856440246105,-2.458451994372071,-2.82491583872537,1.3022410069898807,False,False
ACVR1C,0.07409555409685709,-0.21224762871861458,-2.7788304916623816,-3.8143907525772036,1.948955241230162,False,False
ACVR2A,0.28341909677010335,-0.07695712087055047,-1.209798463137813,-1.1140158233431359,6.53456603739303,False,False
ACVR2B,0.2519232790800743,0.12990133981737825,1.0452537201864789,1.5326987093442441,7.0223576634929215,False,False
ACY1,0.2283382612497462,0.1744863217075666,2.0342571191202627,3.402046480118104,5.37096301040918,False,False
ACYP1,-0.06445279641775414,-0.2615914570374621,-2.921843292100973,-3.9388004318483785,-2.578276811706749,False,False
ACYP2,-0.05456056216098659,0.04433330293330881,0.4540906982715368,0.17297313824225424,-0.8931519798188068,False,False
ADA,0.1796094416786218,0.10910100676119328,0.8740534047981638,1.1202242411739567,5.05165662220809,False,False
ADA2,0.02915455464972183,-0.3185532283451822,-2.594124410510244,-3.3834547822880463,1.723856934348946,False,False
ADAM15,-0.16436353909375612,-0.021486485790875223,-0.24629780119862119,-0.39897320583747936,-4.002881946825379,False,False
ADAM17,0.13299792651378084,0.3004552929196507,4.074269492246106,5.031496170464207,4.357094704931125,False,False
ADAM19,-0.45208001593709923,0.5027604986810021,3.099822543169404,3.1819039102262447,-6.9227141663553,False,False
ADAM8,0.22749628103338182,0.1179490333629979,1.213754373733076,1.6718275364633293,6.1117513341962155,False,False
ADAMTS6,-0.07133829755912302,-0.3192370250924594,-4.331558366598362,-5.422165838008094,-1.5440687537293112,False,False
ADAP1,0.3714865266229026,0.2702304439412223,2.6817171684798713,4.3046837081464435,9.854995276550634,False,False
ADAR,0.31415841493435437,-0.26984532756937873,-2.209858618860478,-2.4475707149799693,4.62324338599201,False,False
ADARB1,0.43053531408077106,0.3880493611925178,3.7875531555443613,5.785885110314659,12.490609019234064,False,False
ADAT1,-0.015536136517766863,-0.009776446502655745,0.013143250005823469,-0.3411755735040946,0.18732800645045383,False,False
ADCK2,0.22481737936323043,-0.3596259243786335,-5.496301009978952,-6.1453458242235035,6.840545510949644,False,False
ADCK5,0.101835279725492,0.11624050305949317,1.6465001682247389,1.9358053399927238,3.4029101185366035,False,False
ADCY1,0.1370269254402956,0.3905355381882853,3.7777245122462113,5.932816951618832,3.317928099073695,False,False
ADCY3,0.15744272578740492,0.04044036173986064,-0.02859435059373181,0.019892262478312536,3.6717776756222653,False,False
ADCY7,-0.025173367612296715,0.12752668062845865,1.1090688974742993,1.5852940966989004,-1.123456341302417,False,False
ADCY9,-0.06973307896987535,-0.14644943508836958,-2.1459999106549317,-2.560896507919558,-2.049041743701311,False,False
ADD1,-0.03372066450538114,0.2961977852715386,4.535527305787101,4.929373855232797,-1.058419413381774,False,False
ADD2,0.021174587513087317,-0.01697188201877806,-0.8761940841442123,-1.0810140865285316,-0.01593782501776669,False,False
ADD3,0.0795033034592052,-0.06747936995493041,-0.7444354808229015,-1.035024032211129,1.9751639718100775,False,False
ADGRA3,0.03531501197721809,-0.16099942889478472,-2.6530759041289285,-2.4836067942057882,0.22083563881333432,False,False
ADGRE5,0.42195318127050996,0.7324491261194149,8.073651236729921,10.455112581643201,7.430718343965442,False,False
ADGRG1,-0.05876211723079905,-0.19302192413144642,-2.095030563567461,-2.7787123325601795,-1.6547475169687385,False,False
ADGRG5,0.44499435811303556,0.2694726209673617,1.850196921955202,3.8228951918381635,7.895155873980871,False,False
ADH5,0.21906489264802076,-0.17066074079937404,-2.1945712028814004,-2.8435325023663967,5.781771729253709,False,False
ADHFE1,0.5749269124353305,0.21724660053021377,0.6246912521900159,0.9711617400305047,5.514346311904396,False,False
ADI1,0.1656106115260627,0.21412995374865001,2.4034692286898323,3.2462649533721515,3.8360927958098485,False,False
ADIPOR1,0.14435285638319328,-0.012787709943950176,-0.2889548488630998,-0.5635788856499786,4.264635786338157,False,False
ADIPOR2,-0.06075873195368331,0.5550200059596035,3.953022197781484,5.618411278116683,-1.0107423595043643,False,False
ADK,0.21631615872320253,0.2881658756070667,3.595608546535295,4.298033512023982,6.8121041128510464,False,False
ADNP,0.236641376708576,-0.04301786050200462,-0.7046252732368466,-0.6157829868014848,5.66972176171498,False,False
ADNP2,-0.06651495795813389,0.30760573264625335,4.083343769153431,4.056750182584093,-1.4432195914961232,False,False
ADORA2A,0.02732201127219014,-0.14597491112848124,-2.6006509899375185,-2.7561763199137763,0.12388655589164091,False,False
ADPGK,0.08319116299389862,0.29878655903869206,3.137677033730484,4.078791937865653,2.137850910001805,False,False
ADPRH,0.3729847917566076,0.06952798242370288,0.5498110480996776,0.9718325140051902,10.718515020328518,False,False
ADPRS,0.6481648606422823,0.2972802368167322,2.2306073597804077,3.541263200385709,13.338093425676298,False,False
ADRM1,0.5024030555505306,0.39768272917717695,2.9862857069976516,4.20921538984983,10.73221260291124,False,False
AEBP2,0.7064775070102769,0.6189974728557799,2.898507345380446,3.8984826512305104,11.145256074251295,False,False
AEN,0.21668443869566545,-0.0709333469470342,-1.0958626443897772,-1.3301216977520904,5.35535654047561,False,False
TLE5,0.2934324101661332,-0.20494794266091454,-2.584705462354375,-3.739670579928278,8.211690236112307,False,False
AFDN,-0.031179069075733423,0.2553039358721839,2.4049887134207846,2.755129341340591,-1.9693988838018306,False,False
AFF4,0.12948861723998562,0.2970349821779463,3.2398300270323914,4.246708558206814,3.5701675187106985,False,False
AFTPH,0.33149136511201505,0.06571063870150182,0.9489396876063406,1.3075466372311748,9.5746385607347,False,False
AGA,0.13411783069932426,0.06938922296588619,0.7196550898355548,1.0114810834270684,4.068145456320589,False,False
AGAP3,0.19372293766355142,0.25332027135623825,3.495881307887377,4.4584774276329435,6.129525739743577,False,False
AGBL5,0.2538643002626486,0.3329065889120102,1.9767623279251583,1.7519404988756457,4.178540326299054,False,False
AGFG2,0.0804158360697329,0.2908461197382874,3.610675132780723,4.288614289321511,2.3497341855613367,False,False
AGGF1,0.08826474872330436,0.06545250862836838,0.6438307867953502,0.7887684859772747,2.153169557957118,False,False
AGK,0.22775221999199857,0.32677066046744585,2.8742447815621737,3.777470976035109,5.089383708715973,False,False
AGL,0.21565639672917314,-0.17103766649961472,-2.965710116526151,-3.9166934601001477,6.568546885063286,False,False
AGMAT,0.5256375216413289,0.18201804161071777,0.6843638824894877,1.7758046247675805,11.12840081688616,False,False
AGO1,0.13844266831074492,-0.27841257448825574,-2.6599885710917603,-3.0423596902876,2.5300382262941326,False,False
AGO2,0.3350923787802458,0.5068279372321235,3.97000365778222,4.523518124369689,7.252646181993217,False,False
AGO3,0.09432012337492779,0.1203963268134329,2.057822862099938,2.165625700527808,2.622621764593657,False,False
AGPAT2,-0.05694174974632915,-0.29201946076419616,-2.692294403995848,-3.242881185488712,-0.5969230128707897,False,False
AGPAT3,0.05380702385446057,0.1969000349442164,1.6380511632178558,1.5096089503220917,1.083426092955681,False,False
AGPAT4,-0.07336179219419137,0.4051378199623691,3.504652967861935,4.137280009495095,-2.123411255840603,False,False
AGPAT5,0.11749724967376096,0.02084234729409218,-0.004599003212388927,0.1790162335145266,1.791417678178982,False,False
AGPS,0.36066444353491534,0.29668865435653263,2.422478055963633,3.5268018779198536,7.893704924054726,False,False
AGRN,0.045017477164947195,0.3542875225345294,3.240301535725864,3.81278392874983,0.9962900940729517,False,False
AGTPBP1,0.035023503412958235,-0.1935701220192843,-2.553972846275003,-3.5902147523718844,1.1134212606683258,False,False
AGTRAP,-0.0015121139877010137,-0.21769370055860943,-3.169260132438078,-3.5754566861431485,-0.6314882685614942,False,False
AHCYL1,0.23089834473648807,0.14124027525799143,1.2369721894756494,1.6944643525463627,6.163394366455637,False,False
AHDC1,0.13443597223522374,0.033589487015787095,-0.3140919162609228,0.27402547934294375,3.902123951673155,False,False
AHI1,0.046522042801370844,-0.04775866633281112,-0.6584802784038161,-0.6920088562699467,0.9986498512609953,False,False
AHNAK,0.3551047093933448,-0.23454999840921825,-2.267820056692669,-2.827817450256256,8.405630215868191,False,False
AHR,0.08997691537661012,-0.05429647614558538,0.10499584443005912,-0.12945248512383278,2.1131576994700425,False,False
