gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,tol_mean_z,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,rest_qc_class,rest_qc_fail_reason,selectivity,efficacy,tolerance_loss,efficacy_lfc,tolerance_loss_lfc,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_direction,fail_evidence,fail_tolerance,fail_homeostasis,homeostasis_verdict,safe,reject_reason,window_score,window_rank
STAT3,-0.6414788489642478,-1.5980760477027087,12,-0.009301491218237127,0.6341036546601382,2,1593,241.0,925.0,rest_qc_pass,-,0.5431276247039811,1.5980760477027087,-0.6341036546601382,0.6414788489642478,0.009301491218237127,239.0,0.44014732965009207,0.012022528249212933,depleting-at-rest,True,False,False,False,False,True,fail,True,-,4.147741967037537,1
RBCK1,-1.2023568811254397,-2.4995928678339117,14,-0.5566893400584595,-0.8140389728025088,2,692,164.0,4.0,rest_qc_pass,-,4.931592086755803,2.4995928678339117,0.8140389728025088,1.2023568811254397,0.5566893400584595,171.0,0.3149171270718232,-0.060300510267814245,depleting-at-rest,True,False,False,False,False,False,pass,True,-,4.11377674386557,2
BATF,-0.8765283531057809,-1.536764686424658,14,0.43856186765243294,1.17730029559104,1,587,129.0,377.0,rest_qc_pass,-,0.44183275227903884,1.536764686424658,-1.17730029559104,0.8765283531057809,-0.43856186765243294,115.0,0.21178637200736647,0.16573720447887885,depleting-at-rest,False,False,False,False,False,True,fail,True,-,3.998753969304052,3
TBX21,-0.7616470310915339,-1.3472188912744183,8,0.3940546648810954,0.853489876873171,0,403,382.0,40.0,rest_qc_pass,-,2.2878428112568425,1.3472188912744183,-0.853489876873171,0.7616470310915339,-0.3940546648810954,406.0,0.7476979742173112,-0.0879070891494276,non-depleting,True,False,False,False,False,True,fail,True,-,3.5381533903972278,4
CAMSAP1,-0.9092345282236501,-1.3055677851644734,5,-0.027736010314607866,0.28743259908922547,0,518,145.0,125.0,rest_qc_pass,-,1.4156219762144104,1.3055677851644734,-0.28743259908922547,0.9092345282236501,0.027736010314607866,149.0,0.27440147329650094,-0.039259430447227045,depleting-at-rest,False,False,False,False,False,True,fail,True,-,3.4369402583879207,5
EHMT2,-0.3939713301125297,-1.2618294261029428,8,0.00626450312464286,0.2584750431720415,0,1007,629.0,1429.0,rest_qc_pass,-,-0.3497062746226387,1.2618294261029428,-0.2584750431720415,0.3939713301125297,-0.00626450312464286,673.0,1.2394106813996317,-0.09754648773102788,non-depleting,False,False,False,False,False,True,fail,True,-,3.3306550543916664,6
STAT5B,-1.8164238113112918,-3.0585895897955693,16,-1.0353017907446251,-1.6157074605881292,3,1060,107.0,1135.0,rest_qc_pass,-,-0.06830146066711418,3.0585895897955693,1.6157074605881292,1.8164238113112918,1.0353017907446251,110.0,0.20257826887661143,-0.039892727123512585,depleting-at-rest,True,False,False,False,True,True,fail,False,tolerance,3.281286979565051,7
RAB21,-0.5354322916473734,-1.2170887911564094,2,-0.02819811175431271,0.02661024484074072,0,128,1059.0,13.0,rest_qc_pass,-,2.2207550747464135,1.2170887911564094,-0.02661024484074072,0.5354322916473734,0.02819811175431271,915.0,1.6850828729281768,0.2108589408209317,non-depleting,False,False,False,True,False,True,fail,False,evidence,3.221934297274908,8
ENO1,-0.9983435407188093,-1.2048722997043788,8,-0.11371784482376625,0.034361966698184004,0,359,70.0,7.0,rest_qc_pass,-,3.80666248977032,1.2048722997043788,-0.034361966698184004,0.9983435407188093,0.11371784482376625,77.0,0.141804788213628,-0.13750352374993496,depleting-at-rest,False,False,False,False,False,False,pass,True,-,3.192247946118684,9
ICAM2,-0.7050323070551248,-1.228751375902045,4,-0.08474770741934087,-0.035596127597976444,0,27,110.0,3.0,rest_qc_pass,-,1.9459101490553132,1.228751375902045,0.035596127597976444,0.7050323070551248,0.08474770741934087,116.0,0.2136279926335175,-0.07662128160291251,depleting-at-rest,False,False,False,False,False,True,fail,True,-,3.1529946666039654,10
UPF3A,-0.6539777144756536,-1.2593838022556618,0,-0.004059120936069971,-0.06636182576890638,0,12,338.0,1.0,rest_qc_pass,-,1.8718021769015913,1.2593838022556618,0.06636182576890638,0.6539777144756536,0.004059120936069971,339.0,0.6243093922651933,-0.004262026854159629,non-depleting,False,False,False,True,False,True,fail,False,evidence,3.1433531692056347,11
SIK3,-0.9539645577491995,-1.3166634964269575,15,-0.2087373792955458,-0.11757642636160032,2,1810,324.0,457.0,rest_qc_pass,-,1.3747652737692277,1.3166634964269575,0.11757642636160032,0.9539645577491995,0.2087373792955458,344.0,0.6335174953959485,-0.0864147518174732,non-depleting,False,False,False,False,False,True,fail,True,-,3.1425807225188764,12
PGAM1,-0.8152989785814282,-1.3010466751823075,2,-0.21954175233067894,-0.10860991879136433,0,60,126.0,17.0,rest_qc_pass,-,1.2205021062771468,1.3010466751823075,0.10860991879136433,0.8152989785814282,0.21954175233067894,135.0,0.24861878453038674,-0.0995356735509144,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,3.1291358898497283,13
PIP5K1A,-0.4639549829350239,-1.1554632217605916,0,0.15854903144309823,0.15143236100457325,0,7,1564.0,6.0,rest_qc_pass,-,0.13353139262452252,1.1554632217605916,-0.15143236100457325,0.4639549829350239,-0.15854903144309823,1446.0,2.6629834254143647,0.11317296035623439,non-depleting,False,False,False,True,False,True,fail,False,evidence,3.0721827666926664,14
KRR1,-1.0450472549058176,-1.1480117342445615,4,0.058617534788590255,0.1816012784544263,0,42,48.0,37.0,rest_qc_pass,-,0.12361395596717673,1.1480117342445615,-0.1816012784544263,1.0450472549058176,-0.058617534788590255,55.0,0.10128913443830571,-0.1963972128035035,depleting-at-rest,False,False,False,False,False,True,fail,True,-,3.054075483115734,15
TIAL1,-0.5684981127155964,-1.184067088329728,4,-0.029958151750753337,-0.04220415030529452,0,238,645.0,54.0,rest_qc_pass,-,1.4691303666990398,1.184067088329728,0.04220415030529452,0.5684981127155964,0.029958151750753337,629.0,1.1583793738489871,0.03623914343132735,non-depleting,False,False,False,False,False,True,fail,True,-,3.026351896072679,16
LMLN,-0.7120253030260704,-1.1053102779541246,1,0.36619756319360997,0.28251489528617707,0,34,269.0,0.0,rest_qc_fail,ontarget_ns,3.5553480614894135,1.1053102779541246,-0.28251489528617707,0.7120253030260704,-0.36619756319360997,378.0,0.6961325966850829,-0.49078006166444854,non-depleting,False,False,False,True,False,False,indeterminate,False,evidence,2.9503099763581195,17
CD2,-0.6796842727882662,-1.6908950547060224,14,-0.11581728858299765,-0.537310302247474,1,989,478.0,4.0,rest_qc_pass,-,5.288267030694535,1.6908950547060224,0.537310302247474,0.6796842727882662,0.11581728858299765,405.0,0.7458563535911602,0.2390887102087615,non-depleting,False,False,False,False,False,False,pass,True,-,2.904889214623136,18
PGS1,-0.650345091759825,-1.0854758860762947,5,0.17438556567414268,0.1851448116452746,0,121,118.0,714.0,rest_qc_pass,-,-1.7682614979607507,1.0854758860762947,-0.1851448116452746,0.650345091759825,-0.17438556567414268,165.0,0.30386740331491713,-0.48367916488397444,depleting-at-rest,False,False,False,False,False,True,fail,True,-,2.902111954481918,19
RHOF,-0.6989401313656717,-1.162849683484613,3,0.12983700183418634,-0.07406190780100202,0,290,401.0,476.0,rest_qc_pass,-,-0.4941932237168487,1.162849683484613,0.07406190780100202,0.6989401313656717,-0.12983700183418634,380.0,0.6998158379373849,0.07760281812397254,non-depleting,False,False,False,False,False,True,fail,True,-,2.8877296654790072,20
APBB1IP,-0.6314367911848207,-1.0541983424383778,2,0.19750250872518327,0.2699233003357913,0,27,583.0,31.0,rest_qc_pass,-,-0.13353139262452274,1.0541983424383778,-0.2699233003357913,0.6314367911848207,-0.19750250872518327,475.0,0.8747697974217311,0.29556836998218633,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.826106814431256,21
WDR44,-0.6647188139518638,-1.0066128638163254,0,-0.11153095330519941,0.09076387261488215,1,26,155.0,272.0,rest_qc_pass,-,-2.3136349291806306,1.0066128638163254,-0.09076387261488215,0.6647188139518638,0.11153095330519941,193.0,0.35543278084714547,-0.3163326319938429,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.710473022695054,22
CHUK,-0.6270572773347347,-1.0057219283926453,0,0.4020162729280562,0.8372013602835441,0,17,155.0,25.0,rest_qc_pass,-,-0.3677247801253176,1.0057219283926453,-0.8372013602835441,0.6270572773347347,-0.4020162729280562,172.0,0.31675874769797424,-0.1501403494278603,depleting-at-rest,True,False,False,True,False,True,fail,False,evidence,2.7083080294194692,23
PPP4R2,-0.6678763703108702,-1.0012561403414721,0,-0.0858664005827214,0.023503095311685263,0,3,312.0,1.0,rest_qc_pass,-,0.6931471805599453,1.0012561403414721,-0.023503095311685263,0.6678763703108702,0.0858664005827214,319.0,0.5874769797421732,-0.03201039490262104,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.697456063223041,24
TBRG4,-0.9529934181271995,-1.0451906618965663,0,-0.013219999976454474,-0.04120578054112775,0,2,154.0,0.0,rest_qc_fail,ontarget_ns,1.0986122886681098,1.0451906618965663,0.04120578054112775,0.9529934181271995,0.013219999976454474,121.0,0.22283609576427257,0.3479233034203068,depleting-at-rest,False,False,False,True,False,True,indeterminate,False,evidence,2.6916074573642046,25
ZC3H10,-0.4089247960683777,-1.084939867037364,3,-0.052655862215212616,-0.08457961377393028,0,360,892.0,381.0,rest_qc_fail,neighboring_kd,-0.05654265027369476,1.084939867037364,0.08457961377393028,0.4089247960683777,0.052655862215212616,869.0,1.6003683241252302,0.03768753310590466,non-depleting,False,False,False,False,False,True,indeterminate,True,-,2.6696634080293653,26
CDK2,-0.4932494415056824,-0.9869414980425125,0,0.08955485758667313,0.2868458577932518,0,347,598.0,1.0,rest_qc_pass,-,5.159055299214529,0.9869414980425125,-0.2868458577932518,0.4932494415056824,-0.08955485758667313,590.0,1.0865561694290975,0.01943052994890144,non-depleting,False,False,False,True,False,False,pass,False,evidence,2.6626711579471483,27
BOD1,-0.39116324387201884,-0.9868063365693496,0,0.009004582483679099,0.021081083741825477,0,3,669.0,7.0,rest_qc_pass,-,-0.6931471805599452,0.9868063365693496,-0.021081083741825477,0.39116324387201884,-0.009004582483679099,713.0,1.3130755064456723,-0.09189586580242716,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.6623427125034733,28
ATXN7L3,-0.562702870519914,-1.2086847511398306,6,-0.07429110578287637,-0.199153736885157,0,503,918.0,545.0,rest_qc_pass,-,-0.08004270767353638,1.2086847511398306,0.199153736885157,0.562702870519914,0.07429110578287637,1294.0,2.3830570902394106,-0.4952715585786995,non-depleting,False,False,False,False,False,True,fail,True,-,2.6572488528364935,29
LYAR,-0.530217504265927,-0.9811461694996819,0,-0.03713079468661895,0.013736324857817383,0,4,224.0,3.0,rest_qc_pass,-,0.2231435513142097,0.9811461694996819,-0.013736324857817383,0.530217504265927,0.03713079468661895,149.0,0.27440147329650094,0.5881864015954426,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.6485883782174935,30
PRKCSH,-0.4456849825107948,-1.1042897227858233,0,0.04054008772385099,-0.11045206225316961,0,2,356.0,14.0,rest_qc_pass,-,-1.6094379124341003,1.1042897227858233,0.11045206225316961,0.4456849825107948,-0.04054008772385099,288.0,0.5303867403314917,0.30580842952408543,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.645977676752408,31
PANK4,-0.8317684639979455,-0.9732064262255381,0,-0.2851623856826604,-0.012206067078276575,0,43,73.0,5.0,rest_qc_fail,ontarget_ns,1.992430164690206,0.9732064262255381,0.012206067078276575,0.8317684639979455,0.2851623856826604,71.0,0.13075506445672191,0.04007743937533512,depleting-at-rest,False,False,False,True,False,True,indeterminate,False,evidence,2.595936894927366,32
NDUFB4,-0.6045556497959416,-0.953545832232447,5,-0.11570272350762899,0.0069443835346437105,0,229,379.0,24.0,rest_qc_pass,-,2.219203484054995,0.953545832232447,-0.0069443835346437105,0.6045556497959416,0.11570272350762899,431.0,0.7937384898710865,-0.1854900209180065,non-depleting,False,False,False,False,False,True,fail,True,-,2.5815189330038155,33
COA1,-0.5697088196833693,-0.9892271182545126,0,0.064746408359099,-0.033193967380059926,0,2,271.0,0.0,rest_qc_fail,ontarget_ns,1.0986122886681098,0.9892271182545126,0.033193967380059926,0.5697088196833693,-0.064746408359099,306.0,0.56353591160221,-0.17523880133878028,non-depleting,False,False,False,True,False,True,indeterminate,False,evidence,2.577510108592887,34
MUS81,-0.8340069372073434,-0.9400702579923207,0,0.23487091522157394,0.14639041535742564,0,2,96.0,3.0,rest_qc_pass,-,-0.2876820724517808,0.9400702579923207,-0.14639041535742564,0.8340069372073434,-0.23487091522157394,76.0,0.13996316758747698,0.3370349872775706,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.548772982131182,35
CBY1,-0.6028793228768954,-0.9232184221235944,0,0.02045385295430827,0.0642510004815044,0,2,736.0,2.0,rest_qc_pass,-,0.0,0.9232184221235944,-0.0642510004815044,0.6028793228768954,-0.02045385295430827,726.0,1.3370165745856353,0.019736218061262217,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.507822638966746,36
GSS,-0.8037632199257376,-1.0596634091877841,2,-0.13883945342121942,-0.12340989408284184,0,424,104.0,259.0,rest_qc_pass,-,0.4914075379088896,1.0596634091877841,0.12340989408284184,0.8037632199257376,0.13883945342121942,154.0,0.283609576427256,-0.5663468225538092,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.5021225124470026,37
FANCM,-0.7066942522027597,-1.153136808284248,1,-0.007472092408407121,-0.21831472142572406,0,12,397.0,76.0,rest_qc_fail,"neighboring_kd,ontarget_ns",-1.7788560643921474,1.153136808284248,0.21831472142572406,0.7066942522027597,0.007472092408407121,501.0,0.9226519337016574,-0.3356715960522507,non-depleting,True,False,False,True,False,True,indeterminate,False,evidence,2.4699014045146583,38
ZNF649,-0.7562150945425754,-1.2365517588865753,6,0.022695859412296557,-0.29336237186858694,1,1174,798.0,105.0,rest_qc_pass,-,2.4055843324661925,1.2365517588865753,0.29336237186858694,0.7562150945425754,-0.022695859412296557,509.0,0.9373848987108656,0.6487230901466504,non-depleting,False,False,False,False,False,False,pass,True,-,2.467505337512621,39
ZNF74,-0.35365046595911664,-0.901867585198799,0,0.24740375818465196,0.379092058763726,0,6,1058.0,3.0,rest_qc_fail,ontarget_ns,0.5596157879354227,0.901867585198799,-0.379092058763726,0.35365046595911664,-0.24740375818465196,959.0,1.7661141804788214,0.1417369070958949,non-depleting,False,False,False,True,False,True,indeterminate,False,evidence,2.455939621251101,40
GRK2,-0.6168932887570753,-0.9618720674748212,1,-0.15719263778783535,-0.05890171670803457,0,3,338.0,8.0,rest_qc_pass,-,-0.810930216216329,0.9618720674748212,0.05890171670803457,0.6168932887570753,0.15719263778783535,367.0,0.6758747697974218,-0.11875681656102836,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.440780498887976,41
FBXL4,-0.46249418508383244,-0.8931021496765945,0,0.17261440671786688,0.16553885106446978,0,2,458.0,1.0,rest_qc_pass,-,0.4054651081081645,0.8931021496765945,-0.16553885106446978,0.46249418508383244,-0.17261440671786688,480.0,0.8839779005524862,-0.0676868075115745,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.4346394142341232,42
EIF4E2,-0.36847094002754005,-0.8836737448076852,3,0.18791255550399122,0.223319663070082,0,35,509.0,1.0,rest_qc_pass,-,2.8903717578961645,0.8836737448076852,-0.223319663070082,0.36847094002754005,-0.18791255550399122,674.0,1.2412523020257826,-0.4050829351061631,non-depleting,False,False,False,False,False,False,pass,True,-,2.4117281766762266,43
PITHD1,-0.5378704266549266,-0.8787342091708383,0,0.1865326549075588,0.37129509337710526,0,1,330.0,1.0,rest_qc_pass,-,0.0,0.8787342091708383,-0.37129509337710526,0.5378704266549266,-0.1865326549075588,251.0,0.4622467771639042,0.3947786602950437,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.3997249931075313,44
TMEM126B,-0.6241367655302043,-1.0219412392250722,8,-0.14985244138665346,-0.1282982078646598,1,441,532.0,28.0,rest_qc_pass,-,2.7240140520912237,1.0219412392250722,0.1282982078646598,0.6241367655302043,0.14985244138665346,437.0,0.8047882136279927,0.28379296600059134,non-depleting,False,False,False,False,False,False,pass,True,-,2.3970976051423962,45
CAST,-0.7002942447866916,-1.1853043583545628,1,-0.21084147453983748,-0.27522901698811114,0,2,319.0,0.0,rest_qc_fail,ontarget_ns,1.0986122886681098,1.1853043583545628,0.27522901698811114,0.7002942447866916,0.21084147453983748,235.0,0.43278084714548803,0.4408956671998697,depleting-at-rest,False,False,False,True,False,True,indeterminate,False,evidence,2.392529291093443,46
DNAJA4,-0.4447747225679811,-0.8733916325962087,1,-0.28090784772977634,0.012922979637203224,0,5,206.0,6.0,rest_qc_pass,-,-0.15415067982725827,0.8733916325962087,-0.012922979637203224,0.4447747225679811,0.28090784772977634,264.0,0.4861878453038674,-0.3578935921752351,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.3867424109237487,47
SNX19,-0.514485669660005,-1.0033295752306843,0,-0.13341550412963452,-0.117637446520939,0,2,725.0,1.0,rest_qc_pass,-,0.4054651081081645,1.0033295752306843,0.117637446520939,0.514485669660005,0.13341550412963452,846.0,1.558011049723757,-0.22267666821765297,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3810054304209385,48
SLC25A51,-0.5207259967814758,-0.8774574422024366,2,-0.2023516359039897,-0.006660019904691832,0,103,626.0,193.0,rest_qc_pass,-,-0.6234672599219557,0.8774574422024366,0.006660019904691832,0.5207259967814758,0.2023516359039897,680.0,1.2523020257826887,-0.1193720892050835,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3784213794752027,49
