gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,selectivity,efficacy,tolerance_loss,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_evidence,fail_homeostasis,fail_tolerance,safe,reject_reason,window_score,window_rank,loeuf,pli,n_tissues_expressed,n_nonimmune_tissues,max_nonimmune_ntpm,is_ceg,is_neg,lof_intolerant,ubiquitous,systemic_risk
PRKAR1A,-1.565971929770568,-0.263360108013361,6,0.0816277143322364,1,901,59.0,1065.0,-0.1670540846631656,1.565971929770568,-0.0816277143322364,66.0,0.1215469613259668,-0.1617510699966122,depleting-at-rest,False,False,False,True,False,False,homeostasis,6.969841005814529,1,0.158,1.0,51.0,45.0,377.5,False,False,True,True,True
ENO1,-0.9983435407188092,-1.2048722997043788,8,-0.1137178448237662,0,359,70.0,7.0,3.80666248977032,0.9983435407188092,0.1137178448237662,77.0,0.141804788213628,-0.1375035237499349,depleting-at-rest,False,False,False,False,False,True,-,6.7242596898937705,2,0.927,9.131e-08,51.0,45.0,1002.8,False,False,False,True,True
TFB1M,-0.4846866892144406,-0.4040386196902833,6,0.1933092699473931,0,866,367.0,1.0,6.071891796220596,0.4846866892144406,-0.1933092699473931,555.0,1.022099447513812,-0.5967077083942555,non-depleting,False,False,False,False,False,True,-,6.555322424184231,3,1.1,1.3135e-06,51.0,45.0,9.4,False,False,False,True,True
RBCK1,-1.2023568811254397,-2.499592867833912,14,-0.5566893400584595,2,692,164.0,4.0,4.931592086755803,1.2023568811254397,0.5566893400584595,171.0,0.3149171270718232,-0.0603005102678142,depleting-at-rest,True,False,False,False,False,True,-,6.384336863220752,4,0.891,1.0367e-10,51.0,45.0,83.7,False,False,False,True,True
CD2,-0.6796842727882662,-1.6908950547060224,14,-0.1158172885829976,1,989,478.0,4.0,5.288267030694535,0.6796842727882662,0.1158172885829976,405.0,0.7458563535911602,0.2390887102087615,non-depleting,False,False,False,False,False,True,-,6.328617785528752,5,1.144,2.6107e-05,41.0,35.0,26.8,False,False,False,False,False
ACAD9,-0.4274250236416114,-0.7755275243435542,3,0.1467751145082385,0,607,688.0,1.0,5.717027701406222,0.4274250236416114,-0.1467751145082385,901.0,1.6593001841620627,-0.3891185411114405,non-depleting,False,False,False,False,False,True,-,6.027735922564024,6,0.885,1.1059e-12,51.0,45.0,38.3,False,False,False,True,True
MALT1,-0.6177352147612112,-0.9310979080400684,10,-0.208858112973708,1,1412,325.0,3.0,5.867176021564637,0.6177352147612112,0.208858112973708,249.0,0.4585635359116022,0.3842939758477359,depleting-at-rest,True,False,False,False,False,True,-,6.02368154199487,7,0.581,0.63497,51.0,45.0,7.6,False,False,True,True,True
CDK2,-0.4932494415056824,-0.9869414980425124,0,0.0895548575866731,0,347,598.0,1.0,5.159055299214529,0.4932494415056824,-0.0895548575866731,590.0,1.0865561694290975,0.0194305299489014,non-depleting,False,False,True,False,False,False,evidence,5.92150357614544,8,0.391,0.99865,51.0,45.0,44.4,False,False,True,True,True
CD3E,-0.9807052173411483,-1.1620318703606838,7,-0.5682072323921394,2,1586,91.0,4.0,5.760162808092309,0.9807052173411483,0.5682072323921394,215.0,0.3959484346224677,-1.240398209390764,depleting-at-rest,True,False,False,False,False,True,-,5.912028704781724,9,0.66,0.46716,43.0,37.0,37.0,False,False,False,False,False
MTHFD1,-0.7577014597161562,0.2714621288250168,0,0.2275042127573514,0,1188,44.0,44.0,3.274205406920462,0.7577014597161562,-0.2275042127573514,115.0,0.2117863720073664,-1.386058432307078,depleting-at-rest,True,False,True,False,False,False,evidence,5.758002471550804,10,0.511,0.82876,51.0,45.0,318.5,False,False,True,True,True
LMLN,-0.7120253030260704,-1.1053102779541246,1,0.3661975631936099,0,34,269.0,0.0,3.555348061489413,0.7120253030260704,-0.3661975631936099,378.0,0.6961325966850829,-0.4907800616644485,non-depleting,False,False,True,False,False,False,evidence,5.753474453847348,11,,,51.0,45.0,10.7,False,False,False,True,True
CCNT1,-0.9474975450697884,-1.5999614462184826,6,-0.3276604642425375,1,222,136.0,3.0,4.020877410340228,0.9474975450697884,0.3276604642425375,177.0,0.3259668508287293,-0.380142708832658,depleting-at-rest,False,False,False,False,False,True,-,5.624015499565794,12,0.311,1.0,51.0,45.0,11.3,False,False,True,True,True
IBA57,-0.5468776092570635,-0.628202750893067,5,0.3868692438957458,0,919,231.0,13.0,4.185316340427828,0.5468776092570635,-0.3868692438957458,373.0,0.6869244935543278,-0.6912827788391803,non-depleting,False,False,False,False,False,True,-,5.451887631788265,13,1.801,6.7498e-09,45.0,39.0,5.6,False,False,False,False,False
CARS2,-0.4899731950287116,-0.1549644278646706,3,-0.0351061776297158,0,1059,156.0,8.0,4.768799609769893,0.4899731950287116,0.0351061776297158,302.0,0.5561694290976059,-0.9530025204628306,non-depleting,False,False,False,False,False,True,-,5.450582713823319,14,1.226,1.8482e-13,51.0,45.0,42.9,False,False,False,True,True
